       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime  BNNAdversaryAccuracy  BNNAdversaryMaxDifference  BNNAdversaryMinDifference  BNNAdversaryFairnessScore  BNNAdversaryAvgDiff
L1N64    1.0     64.0     0.838723                 0.831107          0.516237                      0.839066          0.000647                      0.001841          0.483763                      0.160934    0.174301            1.810584e-01   0.746265               0.731877      0.787778                  0.778326        0.356281                    0.300436  205.665979           336.964971              0.790803                   0.417117               1.021500e-03                   0.582883             0.117425
L2N64    2.0     64.0     0.839782                 0.829514          0.541894                      0.805661          0.000935                      0.002418          0.458106                      0.194339    0.199904            1.780045e-01   0.751253               0.730174      0.788773                  0.775432        0.348671                    0.304210  282.770600           387.418336              0.792799                   0.391590               7.685000e-04                   0.608410             0.091157
L3N64    3.0     64.0     0.838062                 0.821415          0.496064                      0.781271          0.001066                      0.002686          0.503936                      0.218729    0.187677            2.107925e-01   0.743003               0.754538      0.788226                  0.760645        0.353143                    0.308914  331.475894           490.959969              0.793413                   0.396690               9.183047e-04                   0.603310             0.103365
L4N64    4.0     64.0     0.837909                 0.829130          0.521160                      0.820939          0.000688                      0.001178          0.478840                      0.179061    0.179225            1.779720e-01   0.739291               0.721837      0.791748                  0.780782        0.338753                    0.276236  398.782078           544.855643              0.785046                   0.413925               1.373500e-03                   0.586075             0.127879
L5N64    5.0     64.0     0.835867                 0.815715          0.462582                      0.771950          0.000652                      0.004680          0.537418                      0.228050    0.162698            2.179412e-01   0.730323               0.742864      0.791228                  0.758941        0.355902                    0.350990  462.607990           626.560592              0.792492                   0.301961               2.000000e-05                   0.698039             0.065108
L1N32    1.0     32.0     0.838631                 0.823565          0.479698                      0.672402          0.000818                      0.000785          0.520302                      0.327598    0.177825            1.852116e-01   0.746077               0.736246      0.789251                  0.766728        0.348715                    0.309323  210.516744           331.483072              0.787195                   0.343136               2.282500e-03                   0.656864             0.110768
L2N32    2.0     32.0     0.837356                 0.828938          0.495536                      0.685654          0.000915                      0.002122          0.504464                      0.314346    0.178576            1.757434e-01   0.733437               0.738043      0.790931                  0.771867        0.348165                    0.318114  277.418110           388.054711              0.784815                   0.371481               7.100000e-04                   0.628518             0.116913
L3N32    3.0     32.0     0.834853                 0.818958          0.456000                      0.721354          0.001170                      0.002508          0.544000                      0.278646    0.155966            1.759927e-01   0.731102               0.706047      0.789828                  0.722680        0.347170                    0.317377  321.352198           469.355501              0.792492                   0.412246               1.437589e-03                   0.587754             0.088940
L4N32    4.0     32.0     0.834515                 0.808076          0.480101                      0.522251          0.001188                      0.000765          0.519899                      0.477749    0.155357            1.345655e-01   0.735423               0.675008      0.785436                  0.672028        0.346663                    0.389279  367.880097           556.624127              0.794334                   0.295521               7.967881e-05                   0.704479             0.070522
L5N32    5.0     32.0     0.829372                 0.792396          0.435515                      0.498208          0.001729                      0.000235          0.564485                      0.501792    0.146241            1.376488e-01   0.724708               0.695414      0.792720                  0.655639        0.358195                    0.406357  424.623408           624.137926              0.792722                   0.396877               5.985438e-05                   0.603123             0.095897
