       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime  BNNAdversaryAccuracy  BNNAdversaryMaxDifference  BNNAdversaryMinDifference  BNNAdversaryFairnessScore  BNNAdversaryAvgDiff
L1N64    1.0     64.0     0.836082                 0.827968          0.659929                      0.845793          0.005084                      0.001015          0.340071                      0.154207    0.319033                0.218447   0.729103               0.743105      0.790885                  0.768460        0.347483                    0.292783  212.520259           333.343485              0.759251                   0.065355               0.000000e+00                   0.934645         2.073311e-03
L2N64    2.0     64.0     0.839061                 0.828753          0.739742                      0.819128          0.003440                      0.004131          0.260258                      0.180872    0.378684                0.211961   0.749579               0.735323      0.788545                  0.773388        0.337079                    0.300729  288.230629           383.470715              0.759251                   0.024859               0.000000e+00                   0.975141         1.439832e-03
L3N64    3.0     64.0     0.838277                 0.826637          0.746927                      0.785403          0.004035                      0.008575          0.253073                      0.214597    0.370056                0.226092   0.744070               0.740729      0.789326                  0.768760        0.338776                    0.311501  352.804374           527.943727              0.759251                   0.018314               2.980232e-07                   0.981686         3.298635e-03
L4N64    4.0     64.0     0.838124                 0.813228          0.745009                      0.575874          0.004099                      0.011098          0.254991                      0.424126    0.360058                0.190328   0.744162               0.669666      0.788500                  0.801421        0.336881                    0.334920  403.423963           552.100842              0.759251                   0.010023               1.370907e-06                   0.989977         2.189154e-03
L5N64    5.0     64.0     0.836466                 0.813126          0.744359                      0.660486          0.002889                      0.004090          0.255641                      0.339514    0.363119                0.199855   0.741164               0.701029      0.790091                  0.725402        0.340961                    0.349549  450.762678           664.170401              0.759251                   0.002898               2.655983e-04                   0.997102         1.632292e-03
L1N32    1.0     32.0     0.835990                 0.818756          0.670567                      0.706730          0.003689                      0.003128          0.329433                      0.293270    0.319625                0.202456   0.733460               0.719617      0.789123                  0.722717        0.346353                    0.333401  209.007235           348.639760              0.759251                   0.083896               0.000000e+00                   0.916104         2.312856e-02
L2N32    2.0     32.0     0.837510                 0.805295          0.733360                      0.700147          0.005522                      0.002935          0.266640                      0.299853    0.344902                0.217552   0.739103               0.690283      0.789404                  0.674569        0.350086                    0.314150  270.571851           391.714977              0.759251                   0.031621               0.000000e+00                   0.968379         7.896177e-03
L3N32    3.0     32.0     0.836251                 0.827251          0.723388                      0.730482          0.003859                      0.003290          0.276612                      0.269518    0.346792                0.215600   0.743361               0.732205      0.784675                  0.770879        0.343503                    0.319271  344.093815           487.156602              0.759251                   0.011955               0.000000e+00                   0.988045         1.308593e-03
L4N32    4.0     32.0     0.835452                 0.812068          0.658619                      0.647968          0.004607                      0.006502          0.341381                      0.352032    0.302252                0.187670   0.735271               0.708341      0.788867                  0.771436        0.360895                    0.346403  410.255877           535.552252              0.759251                   0.000750               0.000000e+00                   0.999250         2.110036e-04
L5N32    5.0     32.0     0.834900                 0.814013          0.667685                      0.642606          0.003545                      0.002339          0.332315                      0.357394    0.299390                0.203806   0.735067               0.719035      0.784060                  0.718293        0.347674                    0.362586  424.013901           634.749048              0.759251                   0.009110               5.960464e-07                   0.990890         2.792659e-03
L1N16    1.0     16.0     0.834838                 0.792091          0.649084                      0.419874          0.005319                      0.000000          0.350916                      0.580126    0.292855                0.123024   0.740791               0.605152      0.783575                  0.596640        0.354760                    0.381194  221.434009           335.929634              0.759251                   0.104005               0.000000e+00                   0.895995         1.914219e-02
L2N16    2.0     16.0     0.834992                 0.811215          0.673730                      0.528110          0.005009                      0.003720          0.326270                      0.471890    0.295644                0.166129   0.724495               0.674631      0.792648                  0.684574        0.346224                    0.334135  279.473419           366.067134              0.759251                   0.034050               0.000000e+00                   0.965950         5.798468e-04
L3N16    3.0     16.0     0.832842                 0.811898          0.670681                      0.475219          0.003956                      0.002005          0.329319                      0.524781    0.279112                0.152141   0.723047               0.664870      0.786788                  0.730227        0.347971                    0.370336  309.896417           485.673375              0.759251                   0.007651               0.000000e+00                   0.992349         1.894000e-03
