       BNNAccuracy  BNNAdversaryAccuracy  BNNBasicScore  BNNAdversaryBasicScore  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore
L1N16     0.832335              0.813911       0.261938                0.364962          0.891723                   0.916128          0.014093                        0.0          0.108277                   0.083872
L2N16     0.824812              0.766467       0.310917                0.329495          0.846538                   0.638579          0.061987                        0.0          0.153462                   0.361421
L3N16     0.828497              0.818056       0.331644                0.184861          0.839951                   0.605528          0.055947                        0.0          0.160049                   0.394472
L4N16     0.824198              0.807155       0.236297                0.169814          0.758954                   0.753355          0.000000                        0.0          0.241046                   0.246645
L1N8      0.826654              0.817749       0.318287                0.103332          0.838430                   0.745627          0.029705                        0.0          0.161570                   0.254373
L2N8      0.759558              0.830032       0.506986                0.382312          0.224013                   0.780245          0.000000                        0.0          0.775987                   0.219755
L3N8      0.759251              0.759251       1.000000                1.000000          0.379435                   0.000000          0.000000                        0.0          0.620565                   1.000000
L4N8      0.818363              0.804391       0.397359                0.157838          0.700247                   0.582915          0.000000                        0.0          0.299753                   0.417085
L1N4      0.825119              0.824658       0.404729                0.395363          0.764736                   0.920576          0.003770                        0.0          0.235264                   0.079424
L2N4      0.824351              0.759251       0.471826                1.000000          0.778057                   0.000000          0.000000                        0.0          0.221943                   1.000000
L3N4      0.819899              0.759251       0.376785                1.000000          0.672117                   0.000000          0.000000                        0.0          0.327883                   1.000000
L4N4      0.759251              0.829879       1.000000                0.341010          0.000000                   0.769495          0.000000                        0.0          1.000000                   0.230505
L1N2      0.830493              0.824044       0.271150                0.155996          0.747243                   0.676395          0.000000                        0.0          0.252757                   0.323605
L2N2      0.759251              0.759251       1.000000                1.000000          0.000000                   0.000000          0.000000                        0.0          1.000000                   1.000000
L3N2      0.759251              0.833717       1.000000                0.160141          0.000000                   0.904130          0.000000                        0.0          1.000000                   0.095870
L4N2      0.800246              0.820359       0.647167                0.321971          0.639103                   0.636767          0.000000                        0.0          0.360897                   0.363233
