       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff  BNNRecall  BNNAdversaryRecall  BNNPrecision  BNNAdversaryPrecision  BNNMeanEntropy  BNNAdversaryMeanEntropy
L1N64     0.838016              0.825887          0.523071                   0.855751          0.000974               1.933694e-03          0.476929                   0.144249    0.193711             0.200705   0.757659            0.739218      0.782487               0.764672        0.368247                 0.301145
L2N64     0.840012              0.825273          0.501226                   0.807110          0.000045               4.293919e-03          0.498774                   0.192890    0.218298             0.226067   0.743294            0.751009      0.792134               0.761784        0.370766                 0.334390
L3N64     0.832335              0.823430          0.541959                   0.840628          0.000590               1.321137e-03          0.458041                   0.159372    0.220240             0.215740   0.764153            0.749577      0.771370               0.759054        0.357531                 0.295101
L4N64     0.835253              0.831568          0.570512                   0.769835          0.000435               6.200075e-03          0.429488                   0.230165    0.197194             0.160548   0.743644            0.719658      0.781540               0.784193        0.341296                 0.329868
L5N64     0.838323              0.831568          0.476432                   0.752214          0.000934               4.113495e-03          0.523568                   0.247786    0.161568             0.147256   0.739569            0.712690      0.790047               0.788612        0.338890                 0.295939
L1N32     0.832642              0.828190          0.517465                   0.777458          0.001556               0.000000e+00          0.482535                   0.222542    0.190368             0.156175   0.753902            0.728104      0.773611               0.772353        0.356300                 0.301523
L2N32     0.835253              0.831721          0.528620                   0.769522          0.000695               3.751516e-04          0.471380                   0.230478    0.213233             0.175752   0.749306            0.733043      0.779641               0.778076        0.354293                 0.282406
L3N32     0.835253              0.829725          0.496741                   0.728250          0.001521               1.438141e-03          0.503259                   0.271750    0.147756             0.150633   0.750612            0.700153      0.779250               0.792891        0.364919                 0.346575
L4N32     0.825119              0.829725          0.577729                   0.658622          0.000186               1.053989e-03          0.422271                   0.341378    0.192947             0.136046   0.768546            0.704726      0.760656               0.789121        0.367941                 0.329964
L5N32     0.834178              0.790419          0.406137                   0.264775          0.002052               6.556511e-07          0.593863                   0.735225    0.150074             0.069364   0.754260            0.581936      0.776276               0.786063        0.368922                 0.452649
L1N16     0.835253              0.824812          0.515203                   0.738604          0.001738               0.000000e+00          0.484797                   0.261396    0.218616             0.175869   0.753226            0.740253      0.778516               0.762567        0.366967                 0.346704
L2N16     0.833717              0.816521          0.410893                   0.396272          0.003403               0.000000e+00          0.589107                   0.603728    0.121433             0.109297   0.729349            0.683835      0.784282               0.765335        0.375575                 0.436974
L3N16     0.835867              0.830032          0.541388                   0.777826          0.000469               1.320422e-03          0.458612                   0.222174    0.191979             0.174713   0.737733            0.722785      0.785277               0.778756        0.338468                 0.287327
L4N16     0.831107              0.759251          0.366633                   0.007755          0.002385               0.000000e+00          0.633367                   0.992245    0.094848             0.000655   0.713040            0.500000      0.787091               0.379625        0.370853                 0.576243
L5N16     0.832028              0.823891          0.422462                   0.416929          0.000036               7.576108e-03          0.577538                   0.583071    0.107021             0.137055   0.726713            0.717652      0.781577               0.766945        0.336326                 0.420225
L1N8      0.831875              0.823123          0.358492                   0.201792          0.000000               0.000000e+00          0.641508                   0.798208    0.104923             0.066211   0.722474            0.706476      0.783390               0.770050        0.400586                 0.411835
L2N8      0.836481              0.759251          0.536065                   0.101303          0.000046               0.000000e+00          0.463935                   0.898697    0.145389             0.014228   0.744017            0.500000      0.783982               0.379625        0.364788                 0.533523
L3N8      0.831107              0.824198          0.398206                   0.340881          0.000461               4.641652e-03          0.601794                   0.659119    0.107007             0.107333   0.701063            0.725693      0.796548               0.764875        0.363229                 0.417628
L4N8      0.833103              0.830953          0.465824                   0.356200          0.000000               0.000000e+00          0.534176                   0.643800    0.116481             0.105406   0.734389            0.705970      0.780557               0.791841        0.331632                 0.407125
L5N8      0.817749              0.759251          0.257961                   0.001145          0.000000               0.000000e+00          0.742039                   0.998855    0.061696             0.000024   0.702501            0.500000      0.759036               0.379625        0.405329                 0.564330
L1N4      0.759251              0.759251          0.308138                   0.258963          0.000000               0.000000e+00          0.691862                   0.741037    0.042784             0.040129   0.500000            0.500000      0.379625               0.379625        0.421087                 0.433613
L2N4      0.831414              0.826194          0.357118                   0.348811          0.000000               0.000000e+00          0.642882                   0.651189    0.116283             0.095168   0.737196            0.717208      0.775879               0.772332        0.365796                 0.408553
L3N4      0.832949              0.759251          0.217594                   0.215861          0.000585               0.000000e+00          0.782406                   0.784139    0.096579             0.039736   0.724488            0.500000      0.784962               0.379625        0.442110                 0.426963
L4N4      0.835406              0.759251          0.447853                   0.000000          0.000000               0.000000e+00          0.552147                   1.000000    0.101639             0.000000   0.721533            0.500000      0.793179               0.379625        0.366671                 0.516281
L5N4      0.759251              0.759251          0.000000                   0.000000          0.000000               0.000000e+00          1.000000                   1.000000    0.000000             0.000000   0.500000            0.500000      0.379625               0.379625        0.515491                 0.561149
L1N2      0.759251              0.759251          0.000000                   0.409001          0.000000               0.000000e+00          1.000000                   0.590999    0.000000             0.068151   0.500000            0.500000      0.379625               0.379625        0.512199                 0.416558
L2N2      0.759251              0.759251          0.282845                   0.002051          0.000000               0.000000e+00          0.717155                   0.997949    0.036813             0.000008   0.500000            0.500000      0.379625               0.379625        0.405978                 0.528303
L3N2      0.759251              0.759251          0.003386                   0.000000          0.000000               0.000000e+00          0.996614                   1.000000    0.000929             0.000000   0.500000            0.500000      0.379625               0.379625        0.507382                 0.512970
