       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.837095                 0.826040          0.204562                      0.823935               0.0                           0.0          0.795438                      0.176065  2.352313e-02                0.134597   0.728307               0.706001      0.793286                  0.777818        0.345222                    0.304764  232.761162           341.607558
L2N64    2.0     64.0     0.837095                 0.813296          0.221403                      0.766710               0.0                           0.0          0.778597                      0.233290  3.364752e-02                0.188636   0.733316               0.744428      0.790361                  0.744642        0.339691                    0.299758  173.873989           421.397488
L3N64    3.0     64.0     0.838630                 0.821895          0.192258                      0.724938               0.0                           0.0          0.807742                      0.275062  2.777790e-02                0.157866   0.748699               0.717644      0.786707                  0.762662        0.357092                    0.320304  359.438547           503.743492
L4N64    4.0     64.0     0.835253                 0.832949          0.223224                      0.638697               0.0                           0.0          0.776776                      0.361303  2.940899e-02                0.112013   0.720561               0.716866      0.793422                  0.789594        0.328769                    0.283596  412.104582           580.951568
L5N64    5.0     64.0     0.838938                 0.804852          0.190183                      0.798103               0.0                           0.0          0.809817                      0.201897  3.064036e-02                0.200399   0.759572               0.773492      0.783681                  0.739102        0.367953                    0.282700  355.975509           669.326978
L1N32    1.0     32.0     0.836327                 0.820206          0.225983                      0.720792               0.0                           0.0          0.774017                      0.279208  1.952660e-02                0.149291   0.720398               0.730251      0.796552                  0.756280        0.335313                    0.326731  223.713594           340.221833
L2N32    2.0     32.0     0.836788                 0.824658          0.215204                      0.701767               0.0                           0.0          0.784796                      0.298233  1.875077e-02                0.129863   0.735291               0.713584      0.788580                  0.770371        0.334043                    0.326927  282.111754           418.786993
L3N32    3.0     32.0     0.832335                 0.815600          0.154780                      0.760945               0.0                           0.0          0.845220                      0.239055  2.237427e-02                0.178286   0.726261               0.762931      0.782532                  0.748506        0.359935                    0.350669  340.333984           408.279317
L4N32    4.0     32.0     0.838170                 0.828804          0.234318                      0.664498               0.0                           0.0          0.765682                      0.335502  3.470657e-02                0.123275   0.733806               0.712830      0.792744                  0.781034        0.325851                    0.342692  398.074368           566.709015
L5N32    5.0     32.0     0.834178                 0.821281          0.281435                      0.657259               0.0                           0.0          0.718565                      0.342741  1.405658e-02                0.165936   0.720506               0.747509      0.790525                  0.755938        0.326871                    0.335758  464.623749           530.553327
L1N16    1.0     16.0     0.835253                 0.825580          0.091430                      0.591514               0.0                           0.0          0.908570                      0.408486  1.069843e-02                0.135656   0.718819               0.731176      0.794653                  0.766040        0.356115                    0.290615  218.927924           334.260295
L2N16    2.0     16.0     0.831261                 0.821281          0.139553                      0.592504               0.0                           0.0          0.860447                      0.407496  3.578680e-02                0.108994   0.763663               0.703738      0.769745                  0.766859        0.406623                    0.335849  284.160717           411.871992
L3N16    3.0     16.0     0.835406                 0.819131          0.227380                      0.543543               0.0                           0.0          0.772620                      0.456457  1.913978e-02                0.090546   0.717178               0.738689      0.796310                  0.753348        0.354150                    0.346674  334.827567           482.034288
L4N16    4.0     16.0     0.808383                 0.804852          0.107062                      0.168606               0.0                           0.0          0.892938                      0.831394  1.570134e-02                0.028662   0.650167               0.738650      0.765698                  0.733540        0.506039                    0.337491  369.314395           555.995543
L5N16    5.0     16.0     0.819438                 0.759251          0.148657                      0.035526               0.0                           0.0          0.851343                      0.964474  1.314097e-02                0.007056   0.741287               0.500000      0.753597                  0.379625        0.386139                    0.557551  446.241370           627.742817
L1N8     1.0      8.0     0.830800                 0.759251          0.138006                      0.283076               0.0                           0.0          0.861994                      0.716924  1.508184e-02                0.021920   0.710007               0.500000      0.788330                  0.379625        0.360752                    0.402299  217.448129           330.333541
L2N8     2.0      8.0     0.828804                 0.800092          0.121548                      0.116532               0.0                           0.0          0.878452                      0.883468  8.997840e-03                0.007941   0.709563               0.613566      0.783057                  0.777695        0.339583                    0.520228  275.283566           286.634605
L3N8     3.0      8.0     0.834024                 0.822355          0.175180                      0.176468               0.0                           0.0          0.824820                      0.823532  1.857949e-02                0.034239   0.732382               0.729924      0.783530                  0.760226        0.403503                    0.401850  333.415468           496.558946
L4N8     4.0      8.0     0.827269                 0.759251          0.144659                      0.013076               0.0                           0.0          0.855341                      0.986924  1.073626e-02                0.001123   0.726409               0.500000      0.771006                  0.379625        0.379765                    0.529125  387.445433           552.275133
L5N8     5.0      8.0     0.759251                 0.759251          0.001081                      0.000000               0.0                           0.0          0.998919                      1.000000  2.214828e-04                0.000000   0.500000               0.500000      0.379625                  0.379625        0.520842                    0.593667  364.705255           623.078825
L1N4     1.0      4.0     0.759251                 0.759251          0.192787                      0.127679               0.0                           0.0          0.807213                      0.872321  1.298675e-02                0.015279   0.500000               0.500000      0.379625                  0.379625        0.414114                    0.486096  217.165637           333.027788
L2N4     2.0      4.0     0.827883                 0.818363          0.078135                      0.148506               0.0                           0.0          0.921865                      0.851494  1.595483e-02                0.016164   0.715054               0.685484      0.777441                  0.769555        0.362285                    0.393499  271.756246           404.115359
L3N4     3.0      4.0     0.759251                 0.759251          0.000000                      0.004082               0.0                           0.0          1.000000                      0.995918  0.000000e+00                0.000004   0.500000               0.500000      0.379625                  0.379625        0.516076                    0.575548  331.081109           368.237349
L4N4     4.0      4.0     0.831721                 0.797328          0.127435                      0.141462               0.0                           0.0          0.872565                      0.858538  2.233539e-02                0.012470   0.731954               0.727380      0.778518                  0.723345        0.399374                    0.369737  386.812361           555.029776
L5N4     5.0      4.0     0.759251                 0.759251          0.000055                      0.000000               0.0                           0.0          0.999945                      1.000000  7.648302e-07                0.000000   0.500000               0.500000      0.379625                  0.379625        0.584530                    0.515910  437.727148           621.591582
L1N2     1.0      2.0     0.806541                 0.759251          0.095317                      0.286965               0.0                           0.0          0.904683                      0.713035  1.727772e-02                0.018751   0.711452               0.500000      0.735486                  0.379625        0.421132                    0.408787  215.685218           273.574098
L2N2     2.0      2.0     0.819285                 0.768924          0.212614                      0.236223               0.0                           0.0          0.787386                      0.763777  1.669293e-02                0.011935   0.677816               0.664903      0.778405                  0.679275        0.436280                    0.383237  272.233795           426.583926
L3N2     3.0      2.0     0.759251                 0.759251          0.000000                      0.000000               0.0                           0.0          1.000000                      1.000000  0.000000e+00                0.000000   0.500000               0.500000      0.379625                  0.379625        0.513926                    0.514066  327.047162           476.947598
L4N2     4.0      2.0     0.825733                 0.759251          0.129440                      0.000000               0.0                           0.0          0.870560                      1.000000  8.360878e-03                0.000000   0.714074               0.500000      0.772691                  0.379625        0.347675                    0.506085  383.895562           420.564163
L5N2     5.0      2.0     0.759251                 0.759251          0.000000                      0.000000               0.0                           0.0          1.000000                      1.000000  0.000000e+00                0.000000   0.500000               0.500000      0.379625                  0.379625        0.514005                    0.514028  454.407746           613.368090
