       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff
L1N64     0.837863              0.829418          0.174473                   0.826490               0.0                        0.0          0.825527                   0.173510    0.019355         1.565370e-01
L2N64     0.845693              0.828497          0.260520                   0.611713               0.0                        0.0          0.739480                   0.388287    0.032519         1.091727e-01
L3N64     0.840319              0.820206          0.222480                   0.689002               0.0                        0.0          0.777520                   0.310998    0.032151         1.670881e-01
L4N64     0.842469              0.825426          0.189833                   0.747657               0.0                        0.0          0.810167                   0.252343    0.021483         1.541328e-01
L5N64     0.837402              0.822816          0.289881                   0.642859               0.0                        0.0          0.710119                   0.357141    0.028467         1.328339e-01
L1N32     0.835713              0.818517          0.175926                   0.616955               0.0                        0.0          0.824074                   0.383045    0.029620         1.646581e-01
L2N32     0.838938              0.793029          0.196772                   0.702656               0.0                        0.0          0.803228                   0.297344    0.035982         2.363713e-01
L3N32     0.839245              0.821588          0.239128                   0.553064               0.0                        0.0          0.760872                   0.446936    0.026110         1.066798e-01
L4N32     0.829265              0.824965          0.104169                   0.738223               0.0                        0.0          0.895831                   0.261777    0.011638         1.627057e-01
L5N32     0.832489              0.822048          0.235143                   0.476147               0.0                        0.0          0.764857                   0.523853    0.027567         6.578195e-02
L1N16     0.844618              0.827883          0.260079                   0.663422               0.0                        0.0          0.739921                   0.336578    0.041946         1.570164e-01
L2N16     0.832796              0.819285          0.188014                   0.547319               0.0                        0.0          0.811986                   0.452681    0.027653         4.471854e-02
L3N16     0.838323              0.821281          0.267608                   0.628172               0.0                        0.0          0.732392                   0.371828    0.028281         1.363389e-01
L4N16     0.826501              0.759251          0.113113                   0.000006               0.0                        0.0          0.886887                   0.999994    0.010824         2.161618e-08
L5N16     0.827115              0.824812          0.143713                   0.316058               0.0                        0.0          0.856287                   0.683942    0.025383         4.207499e-02
L1N8      0.759251              0.821434          0.284211                   0.491603               0.0                        0.0          0.715789                   0.508397    0.014227         1.118712e-01
L2N8      0.835253              0.759251          0.247090                   0.000621               0.0                        0.0          0.752910                   0.999379    0.028460         1.413654e-06
L3N8      0.759251              0.759251          0.050460                   0.000000               0.0                        0.0          0.949540                   1.000000    0.006762         0.000000e+00
L4N8      0.832949              0.822662          0.194240                   0.467542               0.0                        0.0          0.805760                   0.532458    0.011514         8.074574e-02
L5N8      0.832182              0.759251          0.139635                   0.000000               0.0                        0.0          0.860365                   1.000000    0.026870         0.000000e+00
L1N4      0.828804              0.759251          0.199036                   0.234434               0.0                        0.0          0.800964                   0.765566    0.013023         2.008098e-02
L2N4      0.824658              0.798250          0.185731                   0.095463               0.0                        0.0          0.814269                   0.904537    0.015956         1.654445e-02
L3N4      0.759251              0.759251          0.002026                   0.001426               0.0                        0.0          0.997974                   0.998574    0.000009         3.688231e-06
L4N4      0.759251              0.759251          0.116108                   0.000000               0.0                        0.0          0.883892                   1.000000    0.008863         0.000000e+00
L5N4      0.759251              0.759251          0.001396                   0.000000               0.0                        0.0          0.998604                   1.000000    0.000011         0.000000e+00
L1N2      0.759251              0.759251          0.153643                   0.000000               0.0                        0.0          0.846357                   1.000000    0.014220         0.000000e+00
L2N2      0.759251              0.759251          0.000000                   0.016534               0.0                        0.0          1.000000                   0.983466    0.000000         2.066051e-03
L3N2      0.759251              0.798250          0.222196                   0.098186               0.0                        0.0          0.777804                   0.901814    0.016462         1.278269e-02
L4N2      0.759251              0.759251          0.188706                   0.000000               0.0                        0.0          0.811294                   1.000000    0.004044         0.000000e+00
L5N2      0.759251              0.759251          0.000000                   0.000000               0.0                        0.0          1.000000                   1.000000    0.000000         0.000000e+00
