       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.834945                 0.818824          0.302936                      0.777749               0.0                           0.0          0.697064                      0.222251    0.024345            1.659333e-01   0.753241               0.741753      0.777939                  0.752616        0.362442                    0.327833   81.124132           116.752948
L2N64    2.0     64.0     0.840319                 0.822355          0.238842                      0.854528               0.0                           0.0          0.761158                      0.145472    0.040389            1.748931e-01   0.765273               0.752789      0.784698                  0.757209        0.362279                    0.273025   94.779304           138.980417
L3N64    3.0     64.0     0.837709                 0.825887          0.208452                      0.747509               0.0                           0.0          0.791548                      0.252491    0.024311            1.462029e-01   0.731325               0.718530      0.793031                  0.771052        0.335843                    0.330170  118.288772           166.590455
L4N64    4.0     64.0     0.836174                 0.791494          0.285231                      0.802535               0.0                           0.0          0.714769                      0.197465    0.031619            2.464153e-01   0.725741               0.787778      0.792481                  0.733225        0.340349                    0.281116  137.905817           196.699219
L5N64    5.0     64.0     0.837402                 0.812836          0.234391                      0.826706               0.0                           0.0          0.765609                      0.173294    0.050895            2.063521e-01   0.758561               0.766337      0.781096                  0.745729        0.364688                    0.295810  159.372579           222.425103
L1N32    1.0     32.0     0.836788                 0.808076          0.298662                      0.599710               0.0                           0.0          0.701338                      0.400290    0.018319            1.826822e-01   0.725056               0.744693      0.794567                  0.737985        0.326515                    0.353762   73.036305           112.510742
L2N32    2.0     32.0     0.838477                 0.824812          0.268998                      0.619350               0.0                           0.0          0.731002                      0.380650    0.035557            1.055546e-01   0.762535               0.709765      0.782047                  0.772567        0.343236                    0.272389   92.290408           136.475801
L3N32    3.0     32.0     0.835867                 0.820359          0.168814                      0.660135               0.0                           0.0          0.831186                      0.339865    0.033811            1.525577e-01   0.756243               0.739933      0.778868                  0.755177        0.340393                    0.286385  111.779115           162.210667
L4N32    4.0     32.0     0.836942                 0.825580          0.198222                      0.694912               0.0                           0.0          0.801778                      0.305088    0.029747            1.534312e-01   0.722980               0.747291      0.796418                  0.762740        0.347651                    0.324792  135.779912           188.248009
L5N32    5.0     32.0     0.828650                 0.824658          0.392989                      0.734859               0.0                           0.0          0.607011                      0.265141    0.050664            1.381280e-01   0.769348               0.719246      0.765456                  0.768024        0.332720                    0.320004  151.682973           214.151833
L1N16    1.0     16.0     0.836788                 0.821741          0.180002                      0.570273               0.0                           0.0          0.819998                      0.429727    0.019669            1.296588e-01   0.726798               0.731697      0.793430                  0.758742        0.355314                    0.318660   72.354822           109.539596
L2N16    2.0     16.0     0.833410                 0.817288          0.265650                      0.640684               0.0                           0.0          0.734350                      0.359316    0.036750            1.599199e-01   0.740035               0.762301      0.779015                  0.750488        0.373926                    0.297456   90.214654           134.267589
L3N16    3.0     16.0     0.833103                 0.759251          0.198196                      0.001410               0.0                           0.0          0.801804                      0.998590    0.019589            4.370458e-07   0.730251               0.500000      0.782399                  0.379625        0.383954                    0.523984  118.878186           161.880663
L4N16    4.0     16.0     0.833257                 0.824505          0.205614                      0.269587               0.0                           0.0          0.794386                      0.730413    0.019188            4.455734e-02   0.738627               0.715661      0.779210                  0.769113        0.367841                    0.339260  129.544979           184.769928
L5N16    5.0     16.0     0.833410                 0.772762          0.064395                      0.449409               0.0                           0.0          0.935605                      0.550591    0.006087            1.074121e-01   0.712597               0.749529      0.793977                  0.707646        0.362432                    0.374158  149.326981           209.354425
L1N8     1.0      8.0     0.835713                 0.759251          0.225367                      0.209004               0.0                           0.0          0.774633                      0.790996    0.017242            1.743042e-02   0.736108               0.500000      0.785674                  0.379625        0.349034                    0.409974   70.024941           108.988817
L2N8     2.0      8.0     0.837709                 0.780746          0.173589                      0.226576               0.0                           0.0          0.826411                      0.773424    0.014482            1.381229e-02   0.724792               0.577525      0.797270                  0.724013        0.339066                    0.372548   91.676252           135.597941
L3N8     3.0      8.0     0.822202                 0.825273          0.087452                      0.530252               0.0                           0.0          0.912548                      0.469748    0.013931            1.131782e-01   0.707829               0.715731      0.767168                  0.770848        0.406685                    0.337087  110.176768           158.942225
L4N8     4.0      8.0     0.826961                 0.825580          0.194293                      0.174297               0.0                           0.0          0.805707                      0.825703    0.010143            2.490010e-02   0.702906               0.742282      0.782381                  0.763536        0.357917                    0.391476  128.298807           549.707056
L5N8     5.0      8.0     0.831875                 0.759251          0.144087                      0.003566               0.0                           0.0          0.855913                      0.996434    0.021812            1.219733e-04   0.744033               0.500000      0.774644                  0.379625        0.363453                    0.563958  441.256970           621.290053
L1N4     1.0      4.0     0.832028                 0.759251          0.172752                      0.131215               0.0                           0.0          0.827248                      0.868785    0.024418            1.002044e-02   0.742392               0.500000      0.775429                  0.379625        0.361766                    0.404444  215.969875           332.797335
L2N4     2.0      4.0     0.759251                 0.759251          0.165539                      0.227556               0.0                           0.0          0.834461                      0.772444    0.015113            1.198985e-02   0.500000               0.500000      0.379625                  0.379625        0.432169                    0.384606  151.583838           418.822583
L3N4     3.0      4.0     0.818977                 0.759251          0.103080                      0.002064               0.0                           0.0          0.896920                      0.997936    0.013561            1.870687e-06   0.706141               0.500000      0.760409                  0.379625        0.381849                    0.547199  326.003721           481.963245
L4N4     4.0      4.0     0.759251                 0.759251          0.000000                      0.000000               0.0                           0.0          1.000000                      1.000000    0.000000            0.000000e+00   0.500000               0.500000      0.379625                  0.379625        0.517335                    0.578137  383.061803           469.522264
L5N4     5.0      4.0     0.759251                 0.759251          0.000000                      0.000000               0.0                           0.0          1.000000                      1.000000    0.000000            0.000000e+00   0.500000               0.500000      0.379625                  0.379625        0.566896                    0.568972  439.145369           616.627617
L1N2     1.0      2.0     0.830800                 0.759251          0.355494                      0.000000               0.0                           0.0          0.644506                      1.000000    0.018187            0.000000e+00   0.713927               0.500000      0.785669                  0.379625        0.350017                    0.513248  215.634481           331.645873
L2N2     2.0      2.0     0.759251                 0.709197          0.190322                      0.421077               0.0                           0.0          0.809678                      0.578923    0.016826            2.707321e-02   0.500000               0.771691      0.379625                  0.698978        0.429045                    0.401675  270.365058           399.635856
L3N2     3.0      2.0     0.759251                 0.759251          0.295628                      0.000000               0.0                           0.0          0.704372                      1.000000    0.013139            0.000000e+00   0.500000               0.500000      0.379625                  0.379625        0.384164                    0.515318  207.124431           480.227997
L4N2     4.0      2.0     0.759251                 0.759251          0.000000                      0.000000               0.0                           0.0          1.000000                      1.000000    0.000000            0.000000e+00   0.500000               0.500000      0.379625                  0.379625        0.514298                    0.512054  384.773786           551.508739
L5N2     5.0      2.0     0.759251                 0.759251          0.000000                      0.000000               0.0                           0.0          1.000000                      1.000000    0.000000            0.000000e+00   0.500000               0.500000      0.379625                  0.379625        0.548080                    0.514176  438.806827           612.059068
