       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.841548                 0.822816          0.256084                      0.818367               0.0                           0.0          0.743916                      0.181633    0.036022                0.157634   0.770219               0.722170      0.785681                  0.763138        0.347844                    0.293117  227.497231           341.360823
L2N64    2.0     64.0     0.837095                 0.821741          0.261938                      0.686360               0.0                           0.0          0.738062                      0.313640    0.033045                0.149812   0.764238               0.738884      0.779220                  0.757559        0.344887                    0.342912  290.257257           423.285666
L3N64    3.0     64.0     0.836942                 0.819592          0.207887                      0.819190               0.0                           0.0          0.792113                      0.180810    0.033098                0.202548   0.758040               0.769044      0.780383                  0.753710        0.370061                    0.281958  350.015212           420.111468
L4N64    4.0     64.0     0.836788                 0.829111          0.160650                      0.802092               0.0                           0.0          0.839350                      0.197908    0.022865                0.164180   0.719830               0.740253      0.798301                  0.770390        0.361359                    0.351839  419.358558           581.974846
L5N64    5.0     64.0     0.835253                 0.828190          0.212302                      0.634413               0.0                           0.0          0.787698                      0.365587    0.022873                0.129040   0.754532               0.729847      0.778173                  0.771729        0.360084                    0.365528  478.630107           659.918851
L1N32    1.0     32.0     0.836327                 0.824812          0.283035                      0.579221               0.0                           0.0          0.716965                      0.420779    0.027563                0.168341   0.761991               0.758545      0.778358                  0.760483        0.346675                    0.342808  102.820874           342.942528
L2N32    2.0     32.0     0.837095                 0.788116          0.226982                      0.633057               0.0                           0.0          0.773018                      0.366943    0.027441                0.217324   0.733316               0.801015      0.790361                  0.736363        0.339060                    0.301993  284.326650           412.453292
L3N32    3.0     32.0     0.834178                 0.825273          0.161894                      0.710970               0.0                           0.0          0.838106                      0.289030    0.029954                0.191604   0.713756               0.749920      0.795344                  0.761906        0.348610                    0.320209  338.715561           488.142056
L4N32    4.0     32.0     0.834178                 0.807001          0.211288                      0.281423               0.0                           0.0          0.788712                      0.718577    0.030625                0.043288   0.733790               0.735928      0.783232                  0.736030        0.357069                    0.405027  393.735670           446.913287
L5N32    5.0     32.0     0.832642                 0.814985          0.163808                      0.711000               0.0                           0.0          0.836192                      0.289000    0.022653                0.191356   0.722762               0.781907      0.785153                  0.750247        0.349349                    0.372677  459.319103           636.369867
