       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.836020                 0.830800          0.507483                      0.874889          0.000758                  1.320064e-03          0.492517                      0.125111    0.178623            1.828490e-01   0.753296               0.727646      0.779944                  0.778293        0.355034                    0.289946  223.045519           333.680242
L2N64    2.0     64.0     0.838477                 0.833871          0.543778                      0.828157          0.002117                  1.660824e-03          0.456222                      0.171843    0.188266            1.791915e-01   0.756220               0.737508      0.783790                  0.780958        0.365461                    0.275676  281.370174           306.916941
L3N64    3.0     64.0     0.837249                 0.791955          0.476967                      0.803958          0.000618                  3.642201e-03          0.523033                      0.196042    0.185555            2.653903e-01   0.734723               0.783073      0.789977                  0.731889        0.361242                    0.323545  340.830905           490.198973
L4N64    4.0     64.0     0.838938                 0.828343          0.620703                      0.739584          0.001224                  1.485348e-03          0.379297                      0.260416    0.176305            1.492640e-01   0.737142               0.701856      0.792772                  0.787202        0.359394                    0.275371  404.942599           574.354836
L5N64    5.0     64.0     0.834792                 0.831721          0.426385                      0.784365          0.000273                  1.043057e-02          0.573615                      0.215635    0.174858            1.849186e-01   0.707845               0.733043      0.802310                  0.778076        0.349457                    0.371064  425.121144           644.576624
L1N32    1.0     32.0     0.839398                 0.829572          0.482427                      0.653702          0.000827                  1.210511e-03          0.517573                      0.346298    0.196304            1.628777e-01   0.735486               0.710069      0.794847                  0.784835        0.340329                    0.303436  217.168297           326.984845
L2N32    2.0     32.0     0.837402                 0.832182          0.577804                      0.705633          0.000732                  2.459109e-03          0.422196                      0.294367    0.151551            1.629776e-01   0.737873               0.722676      0.788734                  0.784045        0.340892                    0.308804  275.041703           401.046950
L3N32    3.0     32.0     0.835253                 0.814678          0.490239                      0.848424          0.001802                  3.458917e-03          0.509761                      0.151576    0.178539            2.444636e-01   0.750830               0.752742      0.779186                  0.746721        0.368237                    0.292696  328.956434           376.910379
L4N32    4.0     32.0     0.834945                 0.759251          0.495535                      0.000096          0.000906                  0.000000e+00          0.504465                      0.999904    0.148587            1.962661e-07   0.730811               0.500000      0.786476                  0.379625        0.342898                    0.575140  384.176278           549.750646
L5N32    5.0     32.0     0.838477                 0.821588          0.479530                      0.751052          0.001181                  4.768372e-07          0.520470                      0.248948    0.149371            2.261579e-01   0.723337               0.762954      0.800508                  0.755955        0.360982                    0.344314  447.482760           620.628711
L1N16    1.0     16.0     0.835099                 0.826808          0.337650                      0.675378          0.000135                  1.183927e-03          0.662350                      0.324622    0.132989            2.044238e-01   0.741365               0.739607      0.782074                  0.766257        0.361056                    0.321653  214.958437           249.779314
L2N16    2.0     16.0     0.837556                 0.825426          0.532612                      0.705347          0.001479                  1.486182e-03          0.467388                      0.294653    0.155519            2.025121e-01   0.724473               0.749150      0.797069                  0.762244        0.342138                    0.328353  269.808518           398.295863
L3N16    3.0     16.0     0.834331                 0.769538          0.481079                      0.190541          0.001565                  0.000000e+00          0.518921                      0.809459    0.185177            4.283321e-02   0.752837               0.522671      0.776906                  0.845846        0.350535                    0.485401  324.446494           475.896432
L4N16    4.0     16.0     0.832335                 0.825733          0.434023                      0.631713          0.001595                  0.000000e+00          0.565977                      0.368287    0.127022            1.471000e-01   0.699259               0.723220      0.802461                  0.768879        0.368167                    0.284907  378.915766           541.865710
L5N16    5.0     16.0     0.834945                 0.826654          0.266413                      0.700606          0.000000                  0.000000e+00          0.733587                      0.299394    0.113253            1.274226e-01   0.722754               0.697695      0.791129                  0.785339        0.418481                    0.286935  316.582731           620.754855
L1N8     1.0      8.0     0.823891                 0.831107          0.341671                      0.623643          0.000000                  9.127259e-04          0.658329                      0.376357    0.086829            1.670124e-01   0.719176               0.732421      0.766382                  0.776988        0.378954                    0.322955  213.623194           345.776229
