       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.837249                 0.831721          0.534037                      0.857580          0.000911                  2.524078e-03          0.465963                      0.142420    0.147722                0.172993   0.743216               0.716275      0.785959                  0.786647        0.359191                    0.307087  180.802208           336.144253
L2N64    2.0     64.0     0.837863                 0.827883          0.506483                      0.822792          0.000822                  2.525806e-03          0.493517                      0.177208    0.180083                0.178190   0.729030               0.721805      0.794842                  0.774200        0.351032                    0.282406  289.484330           414.997040
L3N64    3.0     64.0     0.838477                 0.832028          0.461293                      0.800113          0.001102                  2.059162e-03          0.538707                      0.199887    0.175065                0.187370   0.750776               0.731068      0.785608                  0.779576        0.371811                    0.277081  350.626082           496.564646
L4N64    4.0     64.0     0.840626                 0.831875          0.479683                      0.859003          0.000408                  1.151562e-03          0.520317                      0.140997    0.169581                0.158144   0.740432               0.703964      0.795078                  0.796410        0.329295                    0.252432  373.807337           574.079056
L5N64    5.0     64.0     0.836481                 0.787502          0.457158                      0.895854          0.001226                  1.963258e-03          0.542842                      0.104146    0.165617                0.316652   0.740315               0.775568      0.785509                  0.726408        0.373272                    0.325806  471.045006           654.289391
L1N32    1.0     32.0     0.840166                 0.816214          0.492024                      0.702212          0.000902                  1.020610e-03          0.507976                      0.297788    0.174960                0.221056   0.752977               0.754189      0.788279                  0.748747        0.350066                    0.319758  220.886930           332.906060
L2N32    2.0     32.0     0.838016                 0.827115          0.525873                      0.533460          0.000858                  5.953908e-04          0.474127                      0.466540    0.208780                0.150408   0.730220               0.743729      0.794494                  0.765946        0.341128                    0.318000  279.270215           391.880377
L3N32    3.0     32.0     0.836327                 0.828343          0.424096                      0.763192          0.001065                  3.157020e-03          0.575904                      0.236808    0.150605                0.164485   0.721704               0.708607      0.795609                  0.782416        0.351678                    0.280500  333.298930           481.398066
L4N32    4.0     32.0     0.831721                 0.831107          0.458476                      0.801102          0.001115                  2.399623e-03          0.541524                      0.198898    0.133809                0.201290   0.752642               0.748536      0.772253                  0.772051        0.361142                    0.290026  394.622232           560.756311
L5N32    5.0     32.0     0.833410                 0.759251          0.404581                      0.002621          0.001371                  3.576279e-07          0.595419                      0.997379    0.157077                0.000947   0.702580               0.500000      0.802794                  0.379625        0.367163                    0.555584  355.838467           628.705485
L1N16    1.0     16.0     0.835406                 0.828804          0.367635                      0.732288          0.000000                  2.139032e-03          0.632365                      0.267712    0.127234                0.161342   0.729373               0.726549      0.788369                  0.774284        0.360483                    0.307423  215.458394           327.978986
L2N16    2.0     16.0     0.836327                 0.818363          0.454705                      0.748307          0.001226                  3.068566e-03          0.545295                      0.251693    0.172943                0.207611   0.741739               0.754298      0.784568                  0.751579        0.361040                    0.334481  272.646630           398.740488
L3N16    3.0     16.0     0.833871                 0.810072          0.437767                      0.680672          0.001744                  0.000000e+00          0.562233                      0.319328    0.137751                0.183845   0.722482               0.756895      0.788466                  0.741530        0.354954                    0.331179  325.184439           352.373576
L4N16    4.0     16.0     0.829572                 0.759251          0.379755                      0.000187          0.000000                  0.000000e+00          0.620245                      0.999813    0.106959                0.000001   0.741645               0.500000      0.770898                  0.379625        0.386807                    0.524901  381.531339           543.075596
L5N16    5.0     16.0     0.833410                 0.759251          0.560563                      0.000173          0.000873                  0.000000e+00          0.439437                      0.999827    0.133293                0.000081   0.740688               0.500000      0.778781                  0.379625        0.350685                    0.538024  432.776918           618.148153
L1N8     1.0      8.0     0.821281                 0.824044          0.323454                      0.505169          0.000000                  0.000000e+00          0.676546                      0.494831    0.079338                0.123784   0.718546               0.716664      0.761103                  0.767667        0.359381                    0.347460  212.686532           269.243091
L2N8     2.0      8.0     0.837402                 0.825426          0.405793                      0.463188          0.000755                  0.000000e+00          0.594207                      0.536812    0.148239                0.110546   0.729598               0.724760      0.793285                  0.767692        0.383388                    0.334857  275.679681           399.042172
L3N8     3.0      8.0     0.834945                 0.759251          0.442653                      0.000000          0.001100                  0.000000e+00          0.557347                      1.000000    0.159287                0.000000   0.740829               0.500000      0.781955                  0.379625        0.374426                    0.561040  325.260291           476.449955
L4N8     4.0      8.0     0.827576                 0.826808          0.342609                      0.400268          0.000822                  0.000000e+00          0.657391                      0.599732    0.099422                0.089398   0.693946               0.711298      0.791461                  0.776761        0.362170                    0.379855  382.145595           541.680113
L5N8     5.0      8.0     0.824965                 0.759251          0.374874                      0.027485          0.000485                  0.000000e+00          0.625126                      0.972515    0.100300                0.012004   0.706818               0.500000      0.774522                  0.379625        0.395069                    0.552899  390.771283           637.904893
L1N4     1.0      4.0     0.759251                 0.759251          0.351596                      0.356028          0.000000                  0.000000e+00          0.648404                      0.643972    0.053103                0.056829   0.500000               0.500000      0.379625                  0.379625        0.440224                    0.394997  222.802782           339.039783
L2N4     2.0      4.0     0.824351                 0.778904          0.372353                      0.299703          0.000761                  0.000000e+00          0.627647                      0.700297    0.099231                0.055713   0.711204               0.731361      0.770740                  0.706090        0.356992                    0.404372  279.325686           408.241200
L3N4     3.0      4.0     0.830339                 0.759251          0.284127                      0.036180          0.001954                  0.000000e+00          0.715873                      0.963820    0.103023                0.000753   0.726689               0.500000      0.777666                  0.379625        0.397719                    0.525148  263.480858           482.460758
L4N4     4.0      4.0     0.810072                 0.759251          0.406417                      0.000000          0.000000                  0.000000e+00          0.593583                      1.000000    0.074325                0.000000   0.722488               0.500000      0.740377                  0.379625        0.395964                    0.572477  386.540315           554.729970
L5N4     5.0      4.0     0.831107                 0.759251          0.358469                      0.000057          0.000000                  0.000000e+00          0.641531                      0.999943    0.133334                0.000002   0.719355               0.500000      0.783192                  0.379625        0.368174                    0.586433  441.449854           636.852758
L1N2     1.0      2.0     0.759251                 0.759251          0.000000                      0.330449          0.000000                  0.000000e+00          1.000000                      0.669551    0.000000                0.046341   0.500000               0.500000      0.379625                  0.379625        0.512906                    0.402292  119.684142           337.076791
L2N2     2.0      2.0     0.759251                 0.759251          0.000000                      0.306793          0.000000                  0.000000e+00          1.000000                      0.693207    0.000000                0.030389   0.500000               0.500000      0.379625                  0.379625        0.506452                    0.377408  281.618451           416.614707
L3N2     3.0      2.0     0.759251                 0.759251          0.265445                      0.110572          0.000000                  0.000000e+00          0.734555                      0.889428    0.046832                0.025522   0.500000               0.500000      0.379625                  0.379625        0.422436                    0.431943  337.121567           489.669669
L4N2     4.0      2.0     0.759251                 0.759251          0.000000                      0.000000          0.000000                  0.000000e+00          1.000000                      1.000000    0.000000                0.000000   0.500000               0.500000      0.379625                  0.379625        0.514020                    0.507738  387.652791           433.695115
L5N2     5.0      2.0     0.759251                 0.759251          0.000000                      0.008268          0.000000                  0.000000e+00          1.000000                      0.991732    0.000000                0.000086   0.500000               0.500000      0.379625                  0.379625        0.558236                    0.552690  442.711727           629.895228
