       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.834792                 0.831107          0.632243                      0.818274          0.006463                      0.000216          0.367757                      0.181726  2.668075e-01            2.042802e-01   0.715902               0.741132      0.795493                  0.773997        0.346953                    0.295012  225.396291           339.148471
L2N64    2.0     64.0     0.841241                 0.831414          0.745466                      0.813903          0.004555                      0.008036          0.254534                      0.186097  4.011322e-01            2.203726e-01   0.759782               0.739810      0.788048                  0.775013        0.339240                    0.285075  289.486473           298.664725
L3N64    3.0     64.0     0.836481                 0.824044          0.741011                      0.782128          0.003368                      0.014563          0.258989                      0.217872  3.208925e-01            2.476912e-01   0.724636               0.761741      0.794017                  0.759273        0.332797                    0.326486  349.175057           629.754653
L4N64    4.0     64.0     0.838938                 0.830953          0.784373                      0.680087          0.005923                      0.005529          0.215627                      0.319913  3.162065e-01            1.857510e-01   0.735836               0.709455      0.793498                  0.789171        0.345318                    0.365195  457.653444           468.003269
L5N64    5.0     64.0     0.840473                 0.823430          0.806710                      0.523420          0.002644                      0.001724          0.193290                      0.476580  4.175215e-01            1.399094e-01   0.753397               0.677715      0.788758                  0.793341        0.319853                    0.344810  476.787639           670.387237
L1N32    1.0     32.0     0.838938                 0.819131          0.714538                      0.792563          0.005169                      0.002896          0.285462                      0.207437  3.484758e-01            2.412839e-01   0.743022               0.769176      0.789802                  0.753171        0.345572                    0.327433  226.567693           346.104541
L2N32    2.0     32.0     0.835867                 0.759251          0.720280                      0.409222          0.007616                      0.000013          0.279720                      0.590778  3.098989e-01            1.214265e-01   0.725974               0.500000      0.791529                  0.379625        0.356838                    0.357624  290.045116           303.465843
L3N32    3.0     32.0     0.835560                 0.830032          0.695461                      0.873925          0.003445                      0.001454          0.304539                      0.126075  3.232065e-01            2.481229e-01   0.756041               0.745868      0.778356                  0.770714        0.358072                    0.263915  354.228774           503.407414
L4N32    4.0     32.0     0.840012                 0.828804          0.735701                      0.763383          0.001386                      0.004722          0.264299                      0.236617  3.640146e-01            1.703203e-01   0.745036               0.702595      0.791298                  0.788013        0.335387                    0.314966  436.475034           599.801551
L5N32    5.0     32.0     0.838938                 0.805312          0.739033                      0.879604          0.002653                      0.003540          0.260967                      0.120396  3.503341e-01            3.124865e-01   0.745200               0.771182      0.788818                  0.739019        0.330181                    0.325475  364.568990           642.168931
L1N16    1.0     16.0     0.836327                 0.759251          0.665942                      0.308706          0.007371                      0.000000          0.334058                      0.691294  2.917396e-01            9.566311e-02   0.750885               0.500000      0.781256                  0.379625        0.358583                    0.388277  222.589647           338.242100
L2N16    2.0     16.0     0.833410                 0.824505          0.701407                      0.462439          0.003713                      0.002370          0.298593                      0.537561  2.878100e-01            1.616355e-01   0.708024               0.726549      0.797717                  0.765237        0.327435                    0.367893  284.325002           313.572235
L3N16    3.0     16.0     0.835099                 0.819899          0.752988                      0.517480          0.001428                      0.002721          0.247012                      0.482520  2.980663e-01            1.629563e-01   0.733961               0.698690      0.785271                  0.765925        0.325453                    0.337596  336.858082           549.492412
L4N16    4.0     16.0     0.833871                 0.759251          0.716588                      0.000057          0.002144                      0.000000          0.283412                      0.999943  3.393696e-01            1.708978e-07   0.747307               0.500000      0.777554                  0.379625        0.330119                    0.529410  398.088364           571.052261
L5N16    5.0     16.0     0.759251                 0.759251          0.000000                      0.002370          0.000000                      0.000000          1.000000                      0.997630  0.000000e+00            4.917113e-06   0.500000               0.500000      0.379625                  0.379625        0.526613                    0.533218  451.264853           643.190294
L1N8     1.0      8.0     0.836481                 0.759251          0.579304                      0.381320          0.006823                      0.000000          0.420696                      0.618680  2.718058e-01            1.127761e-01   0.729427               0.500000      0.791030                  0.379625        0.379087                    0.336864  227.347381           339.839275
L2N8     2.0      8.0     0.829111                 0.759251          0.432461                      0.346337          0.000000                      0.000000          0.567539                      0.653663  1.582453e-01            1.007813e-01   0.703233               0.500000      0.788440                  0.379625        0.371211                    0.378010  334.738741           414.532657
L3N8     3.0      8.0     0.830032                 0.759251          0.623733                      0.000000          0.000000                      0.000000          0.376267                      1.000000  2.585488e-01            0.000000e+00   0.741948               0.500000      0.771691                  0.379625        0.385225                    0.579473  337.791532           380.582830
L4N8     4.0      8.0     0.814832                 0.759251          0.598244                      0.100951          0.000000                      0.000000          0.401756                      0.899049  1.964239e-01            5.701045e-02   0.756110               0.500000      0.747091                  0.379625        0.369775                    0.432144  388.815967           609.800727
L5N8     5.0      8.0     0.834638                 0.759251          0.422165                      0.074386          0.000000                      0.000000          0.577835                      0.925614  2.134368e-01            2.587545e-02   0.712317               0.500000      0.797882                  0.379625        0.356638                    0.513131  446.283162           631.378190
L1N4     1.0      4.0     0.825426                 0.759251          0.507663                      0.408106          0.000000                      0.000000          0.492337                      0.591894  1.689772e-01            1.072158e-01   0.733253               0.500000      0.765196                  0.379625        0.388346                    0.364478  223.236998           222.588204
L2N4     2.0      4.0     0.826961                 0.814678          0.534586                      0.592072          0.000000                      0.005880          0.465414                      0.407928  1.931098e-01            2.038955e-01   0.715319               0.730095      0.775045                  0.747070        0.344332                    0.331989  276.695592           410.479606
L3N4     3.0      4.0     0.759251                 0.759251          0.000000                      0.370094          0.000000                      0.000000          1.000000                      0.629906  0.000000e+00            7.516865e-02   0.500000               0.500000      0.379625                  0.379625        0.521655                    0.386329  336.734354           484.086591
L4N4     4.0      4.0     0.822969                 0.759251          0.438455                      0.000000          0.000000                      0.000000          0.561545                      1.000000  2.086906e-01            0.000000e+00   0.751670               0.500000      0.758187                  0.379625        0.381247                    0.557368  390.255972           549.191441
L5N4     5.0      4.0     0.759251                 0.759251          0.000064                      0.000000          0.000000                      0.000000          0.999936                      1.000000  2.245813e-08            0.000000e+00   0.500000               0.500000      0.379625                  0.379625        0.560553                    0.533805  408.158999           618.982055
L1N2     1.0      2.0     0.759251                 0.759251          0.397756                      0.440484          0.000000                      0.000000          0.602244                      0.559516  7.771565e-02            9.247147e-02   0.500000               0.500000      0.379625                  0.379625        0.408689                    0.372362  216.403562           331.941332
L2N2     2.0      2.0     0.759251                 0.759251          0.365753                      0.357744          0.000000                      0.000000          0.634247                      0.642256  9.283956e-02            7.113315e-02   0.500000               0.500000      0.379625                  0.379625        0.430004                    0.393231  272.723447           404.073547
L3N2     3.0      2.0     0.759251                 0.759251          0.000000                      0.000377          0.000000                      0.000000          1.000000                      0.999623  0.000000e+00            4.864701e-05   0.500000               0.500000      0.379625                  0.379625        0.514022                    0.513388  343.642885           492.100339
L4N2     4.0      2.0     0.759251                 0.759251          0.000105                      0.000623          0.000000                      0.000000          0.999895                      0.999377  4.158140e-07            3.147497e-06   0.500000               0.500000      0.379625                  0.379625        0.514299                    0.514137  381.771034           547.643888
L5N2     5.0      2.0     0.759251                 0.759251          0.000000                      0.000031          0.000000                      0.000000          1.000000                      0.999969  0.000000e+00            1.470669e-08   0.500000               0.500000      0.379625                  0.379625        0.562115                    0.507227  440.071164           611.497700
