       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.835406                 0.826501          0.695606                      0.874182          0.008089                      0.001546          0.304394                      0.125818  3.713897e-01            2.129030e-01   0.721097               0.742236      0.793476                  0.765155        0.350513                    0.307681  219.563429           332.103745
L2N64    2.0     64.0     0.841548                 0.830186          0.842249                      0.881122          0.003129                      0.000010          0.157751                      0.118878  4.423815e-01            2.369510e-01   0.764993               0.748147      0.787040                  0.770482        0.325966                    0.300753  283.640630           414.622097
L3N64    3.0     64.0     0.838323                 0.826654          0.769991                      0.904728          0.002801                      0.002987          0.230009                      0.095272  3.744757e-01            2.384673e-01   0.750893               0.751919      0.785251                  0.763873        0.339809                    0.335028  341.635381           448.478125
L4N64    4.0     64.0     0.838938                 0.762475          0.774236                      0.354069          0.004043                      0.006447          0.225764                      0.645931  3.961478e-01            1.351973e-01   0.748248               0.506696      0.787537                  0.880853        0.337763                    0.337660  403.865618           563.993625
L5N64    5.0     64.0     0.831107                 0.830186          0.754438                      0.830962          0.001553                      0.004190          0.245562                      0.169038  2.831392e-01            1.907886e-01   0.686908               0.721362      0.812405                  0.779829        0.315147                    0.311928  464.010440           650.211901
L1N32    1.0     32.0     0.831261                 0.829879          0.570274                      0.610123          0.000000                      0.006316          0.429726                      0.389877  2.322164e-01            1.908302e-01   0.705301               0.742500      0.793328                  0.771255        0.348903                    0.361134  139.564733           331.578630
L2N32    2.0     32.0     0.838477                 0.801474          0.736203                      0.788030          0.005939                      0.002234          0.263797                      0.211970  3.525068e-01            2.855899e-01   0.751429               0.769743      0.785373                  0.735267        0.359453                    0.310711  274.493034           403.376976
L3N32    3.0     32.0     0.835560                 0.825580          0.736204                      0.727181          0.004445                      0.000027          0.263796                      0.272819  3.390782e-01            2.134150e-01   0.741668               0.749469      0.782939                  0.762452        0.331595                    0.356589  333.285056           479.966655
L4N32    4.0     32.0     0.834945                 0.827422          0.605730                      0.743424          0.008043                      0.001523          0.394270                      0.256576  2.520930e-01            2.269256e-01   0.725585               0.741536      0.789379                  0.766947        0.387823                    0.331196  390.645620           433.634118
L5N32    5.0     32.0     0.833564                 0.828957          0.695798                      0.695398          0.005273                      0.001444          0.304202                      0.304602  3.071608e-01            1.840868e-01   0.747323               0.733183      0.776955                  0.772185        0.346120                    0.299178  444.830095           625.533597
L1N16    1.0     16.0     0.836942                 0.826808          0.638104                      0.425292          0.006848                      0.000000          0.361896                      0.574708  2.737499e-01            1.254742e-01   0.728206               0.696490      0.792948                  0.786783        0.340419                    0.395515  213.607214           328.156378
L2N16    2.0     16.0     0.833871                 0.828804          0.605008                      0.764235          0.003650                      0.010280          0.394992                      0.235765  2.350038e-01            2.358662e-01   0.713553               0.751157      0.794595                  0.767514        0.356776                    0.291988  272.878529           393.450126
L3N16    3.0     16.0     0.835253                 0.832182          0.614305                      0.570442          0.005492                      0.004562          0.385695                      0.429558  2.963482e-01            1.956092e-01   0.719690               0.717014      0.794030                  0.787412        0.351873                    0.325420  324.855858           474.010123
L4N16    4.0     16.0     0.832949                 0.759251          0.614613                      0.006281          0.012583                      0.000000          0.385387                      0.993719  2.609127e-01            1.749047e-03   0.703801               0.500000      0.800058                  0.379625        0.376004                    0.540203  380.363267           545.100117
L5N16    5.0     16.0     0.759251                 0.819131          0.095014                      0.327026          0.000074                      0.009796          0.904986                      0.672974  4.642020e-02            1.396621e-01   0.500000               0.665955      0.379625                  0.790335        0.585566                    0.385739  452.391451           542.450974
L1N8     1.0      8.0     0.832028                 0.759251          0.648483                      0.402069          0.004491                      0.000000          0.351517                      0.597931  2.503627e-01            9.085768e-02   0.730197               0.500000      0.779956                  0.379625        0.347311                    0.362504  213.994719           326.074546
L2N8     2.0      8.0     0.837863                 0.759251          0.780893                      0.041236          0.005040                      0.000000          0.219107                      0.958764  3.614068e-01            1.254940e-05   0.739265               0.500000      0.789125                  0.379625        0.343316                    0.549585  268.517086           397.545415
L3N8     3.0      8.0     0.821588                 0.759251          0.566337                      0.391937          0.000000                      0.000000          0.433663                      0.608063  1.719160e-01            8.593426e-02   0.705464               0.500000      0.766786                  0.379625        0.406655                    0.374209  325.335279           473.056775
L4N8     4.0      8.0     0.811300                 0.759251          0.594037                      0.000116          0.001200                      0.000000          0.405963                      0.999884  1.447578e-01            2.656722e-08   0.633143               0.500000      0.805238                  0.379625        0.344843                    0.577346  316.507906           540.357795
L5N8     5.0      8.0     0.759251                 0.759251          0.343020                      0.012976          0.000000                      0.000000          0.656980                      0.987024  6.891973e-02            6.158047e-03   0.500000               0.500000      0.379625                  0.379625        0.396382                    0.551346  432.402323           613.197988
