       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.835867                 0.824505          0.917443                      0.833971          0.038590                      0.000095          0.082557                      0.166029  5.665334e-01                0.256060   0.718134               0.744188      0.796920                  0.761405        0.332098                    0.293665  117.582199           333.275039
L2N64    2.0     64.0     0.839705                 0.816674          0.929226                      0.755104          0.055094                      0.000085          0.070774                      0.244896  6.936328e-01                0.235860   0.743310               0.745782      0.791418                  0.749289        0.333557                    0.342897  284.598361           415.333087
L3N64    3.0     64.0     0.838938                 0.825887          0.936613                      0.603785          0.058219                      0.018636          0.063387                      0.396215  6.348798e-01                0.241520   0.731916               0.735298      0.795831                  0.765558        0.332706                    0.339733  344.800360           491.945326
L4N64    4.0     64.0     0.837095                 0.816828          0.899192                      0.442851          0.060755                      0.000007          0.100808                      0.557149  6.191554e-01                0.171519   0.754657               0.663568      0.781601                  0.783932        0.353412                    0.320587  409.649705           472.874821
L5N64    5.0     64.0     0.835253                 0.771841          0.902021                      0.332735          0.000144                      0.006008          0.097979                      0.667265  6.099915e-01                0.115659   0.716859               0.529632      0.796106                  0.814963        0.327802                    0.339181  470.290374           645.435607
L1N32    1.0     32.0     0.837709                 0.759251          0.928199                      0.388706          0.043565                      0.000000          0.071801                      0.611294  5.975732e-01                0.134741   0.748964               0.500000      0.784686                  0.379625        0.356877                    0.331186  218.749481           330.032923
L2N32    2.0     32.0     0.835867                 0.827115          0.918335                      0.646123          0.055835                      0.000028          0.081665                      0.353877  6.707014e-01                0.192471   0.718134               0.704314      0.796920                  0.781849        0.338130                    0.325285  274.660883           288.970885
L3N32    3.0     32.0     0.839398                 0.820206          0.870866                      0.862955          0.050949                      0.000032          0.129134                      0.137045  6.058449e-01                0.243781   0.745285               0.711087      0.789803                  0.761297        0.363775                    0.283038  332.326722           478.223409
L4N32    4.0     32.0     0.832796                 0.759251          0.856367                      0.369821          0.000392                      0.000036          0.143633                      0.630179  4.948668e-01                0.166044   0.716548               0.500000      0.789387                  0.379625        0.331946                    0.319161  386.424125           557.858043
L5N32    5.0     32.0     0.836942                 0.759251          0.889605                      0.414370          0.051899                      0.000212          0.110395                      0.585630  5.707826e-01                0.163220   0.739748               0.500000      0.786792                  0.379625        0.351973                    0.335367  443.993692           606.708645
L1N16    1.0     16.0     0.833257                 0.759251          0.754060                      0.470865          0.000000                      0.000000          0.245940                      0.529135  4.057514e-01                0.193749   0.735797               0.500000      0.780314                  0.379625        0.358526                    0.338562  216.472167           388.720358
L2N16    2.0     16.0     0.836174                 0.759251          0.907951                      0.354394          0.037439                      0.000086          0.092049                      0.645606  5.525532e-01                0.140901   0.725741               0.500000      0.792481                  0.379625        0.334355                    0.359503  278.063468           406.115448
L3N16    3.0     16.0     0.838323                 0.759251          0.896397                      0.387708          0.040593                      0.008904          0.103603                      0.612292  5.729913e-01                0.179229   0.730423               0.500000      0.795168                  0.379625        0.340296                    0.314929  312.823622           478.283639
L4N16    4.0     16.0     0.832949                 0.759251          0.779361                      0.309651          0.012437                      0.000000          0.220639                      0.690349  4.219962e-01                0.148043   0.713818               0.500000      0.791726                  0.379625        0.354374                    0.344307  391.335197           554.562863
L5N16    5.0     16.0     0.835253                 0.759251          0.795189                      0.320010          0.037696                      0.000001          0.204811                      0.679990  4.320526e-01                0.155185   0.717948               0.500000      0.795290                  0.379625        0.370866                    0.321177  445.155950           620.712131
L1N8     1.0      8.0     0.835406                 0.759251          0.770732                      0.438993          0.000000                      0.000000          0.229268                      0.561007  5.226295e-01                0.177770   0.727195               0.500000      0.789606                  0.379625        0.371290                    0.318174  118.721605           330.593022
L2N8     2.0      8.0     0.836942                 0.759251          0.907048                      0.328435          0.042748                      0.000000          0.092952                      0.671565  6.057274e-01                0.153682   0.745192               0.500000      0.784502                  0.379625        0.348988                    0.325575  273.907041           403.120193
L3N8     3.0      8.0     0.837249                 0.759251          0.859742                      0.000000          0.013606                      0.000000          0.140258                      1.000000  5.679305e-01                0.000000   0.748225               0.500000      0.784005                  0.379625        0.352572                    0.597052  329.062220           478.037484
L4N8     4.0      8.0     0.759251                 0.759251          0.020117                      0.000000          0.000000                      0.000000          0.979883                      1.000000  7.324019e-03                0.000000   0.500000               0.500000      0.379625                  0.379625        0.600271                    0.595435  382.852381           427.797396
L5N8     5.0      8.0     0.830186                 0.759251          0.791708                      0.000000          0.000000                      0.000000          0.208292                      1.000000  4.822194e-01                0.000000   0.723975               0.500000      0.778550                  0.379625        0.367055                    0.597506  439.108285           628.772442
L1N4     1.0      4.0     0.833717                 0.759251          0.670878                      0.280763          0.000000                      0.000000          0.329122                      0.719237  4.052716e-01                0.118955   0.734575               0.500000      0.781843                  0.379625        0.389159                    0.331570  217.919336           330.622283
L2N4     2.0      4.0     0.826501                 0.759251          0.673633                      0.007072          0.000000                      0.000000          0.326367                      0.992928  2.124203e-01                0.000001   0.686270               0.500000      0.795338                  0.379625        0.374230                    0.515292  279.998786           408.813459
