       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.836942                 0.827883          0.937821                      0.795199          0.046609                      0.000000          0.062179                      0.204801    0.639543            2.074392e-01   0.724068               0.706126      0.795656                  0.782779        0.333303                    0.289083  188.974922           333.088449
L2N64    2.0     64.0     0.839859                 0.824044          0.921595                      0.824376          0.046550                      0.000032          0.078405                      0.175624    0.662026            2.370281e-01   0.764970               0.735827      0.783940                  0.762057        0.355689                    0.299562  285.848284           417.266830
L3N64    3.0     64.0     0.837095                 0.828343          0.890813                      0.724624          0.061355                      0.011789          0.109187                      0.275376    0.541275            2.302449e-01   0.721992               0.728641      0.797563                  0.772483        0.342904                    0.324433  351.914022           500.894929
L4N64    4.0     64.0     0.838323                 0.828497          0.932960                      0.603994          0.038989                      0.037537          0.067040                      0.396006    0.581762            2.206855e-01   0.732600               0.728960      0.793834                  0.772694        0.334214                    0.346052  413.296615           457.280208
L5N64    5.0     64.0     0.832949                 0.759251          0.881209                      0.411836          0.015479                      0.000003          0.118791                      0.588164    0.550697            1.800989e-01   0.744523               0.500000      0.776592                  0.379625        0.339390                    0.304415  469.378657           665.996604
L1N32    1.0     32.0     0.836481                 0.820973          0.916152                      0.759752          0.054373                      0.004059          0.083848                      0.240248    0.556148            2.285758e-01   0.754688               0.735112      0.780425                  0.756813        0.357927                    0.326712  225.064406           339.679514
L2N32    2.0     32.0     0.836942                 0.825273          0.934803                      0.814417          0.055263                      0.017668          0.065197                      0.185583    0.697413            2.577610e-01   0.732344               0.725966      0.790519                  0.766977        0.335549                    0.292198  278.297324           288.995435
L3N32    3.0     32.0     0.834331                 0.759251          0.860383                      0.373150          0.053568                      0.000048          0.139617                      0.626850    0.564673            1.548338e-01   0.748481               0.500000      0.778099                  0.379625        0.364596                    0.305985  332.695297           485.173865
L4N32    4.0     32.0     0.832182                 0.759251          0.773057                      0.408789          0.046973                      0.000285          0.226943                      0.591211    0.381008            1.728443e-01   0.711135               0.500000      0.791490                  0.379625        0.363756                    0.354752  393.051141           555.538235
L5N32    5.0     32.0     0.826654                 0.759251          0.872984                      0.320925          0.041019                      0.004854          0.127016                      0.679075    0.551253            9.118293e-02   0.758016               0.500000      0.763244                  0.379625        0.375073                    0.363600  436.731656           627.018251
