       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore    BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.841855                 0.822202          0.931037                      0.741941          0.073479                      0.000383          0.068963                      0.258059  6.514015e-01                0.251552   0.758009               0.748986      0.789887                  0.757224        0.356574                    0.331009  217.411564           330.249204
L2N64    2.0     64.0     0.839398                 0.826194          0.943702                      0.773442          0.094723                      0.000011          0.056298                      0.226558  6.940589e-01                0.234744   0.746809               0.710675      0.789132                  0.775543        0.321879                    0.286449  279.723283           405.851864
L3N64    3.0     64.0     0.833717                 0.810072          0.874876                      0.507175          0.064718                      0.000098          0.125124                      0.492825  6.122161e-01                0.200985   0.712799               0.634511      0.794726                  0.795303        0.344646                    0.326164  339.859812           366.709666
L4N64    4.0     64.0     0.837556                 0.827883          0.904974                      0.836421          0.041495                      0.010380          0.095026                      0.163579  6.190049e-01                0.197980   0.749516               0.701988      0.784173                  0.785726        0.329339                    0.273942  398.654214           562.828422
L5N64    5.0     64.0     0.835406                 0.809612          0.908205                      0.451080          0.082795                      0.014995          0.091795                      0.548920  5.408263e-01                0.181655   0.716524               0.639434      0.796811                  0.784472        0.359541                    0.302809  458.516467           640.731718
L1N32    1.0     32.0     0.839091                 0.822509          0.933979                      0.747416          0.108808                      0.000000          0.066021                      0.252584  6.432961e-01                0.230415   0.728751               0.700845      0.798314                  0.771489        0.352849                    0.295908  215.383491           241.529559
L2N32    2.0     32.0     0.839705                 0.825580          0.891122                      0.845252          0.038085                      0.003349          0.108878                      0.154748  5.535185e-01                0.232278   0.734599               0.715715      0.796155                  0.771570        0.341733                    0.286077  271.917271           400.330316
L3N32    3.0     32.0     0.836634                 0.816367          0.878663                      0.526817          0.072685                      0.007087          0.121337                      0.473183  5.984616e-01                0.186297   0.733230               0.657385      0.789285                  0.789761        0.366518                    0.417788  328.845294           471.343886
L4N32    4.0     32.0     0.836942                 0.824044          0.849218                      0.759404          0.038325                      0.022797          0.150782                      0.240596  5.071483e-01                0.232886   0.726464               0.703380      0.794053                  0.774074        0.367905                    0.257273  384.110470           429.383970
L5N32    5.0     32.0     0.830646                 0.822202          0.790472                      0.912219          0.040751                      0.000000          0.209528                      0.087781  4.402419e-01                0.239068   0.699888               0.737880      0.796120                  0.758478        0.359012                    0.336876  438.859703           616.059307
L1N16    1.0     16.0     0.838477                 0.759251          0.954274                      0.360671          0.079120                      0.000000          0.045726                      0.639329  6.684079e-01                0.154686   0.741848               0.500000      0.789304                  0.379625        0.335202                    0.317161  209.268665           319.081774
L2N16    2.0     16.0     0.829418                 0.823737          0.875835                      0.736729          0.074707                      0.005454          0.124165                      0.263271  5.669442e-01                0.243935   0.750690               0.728439      0.768638                  0.763196        0.356270                    0.322589  267.801712           398.208615
L3N16    3.0     16.0     0.834331                 0.820206          0.785277                      0.662033          0.000000                      0.000000          0.214723                      0.337967  5.258543e-01                0.148702   0.751748               0.682125      0.777188                  0.777729        0.355726                    0.440620  223.043262           470.147952
L4N16    4.0     16.0     0.835253                 0.759251          0.783338                      0.000000          0.000000                      0.000000          0.216662                      1.000000  4.887185e-01                0.000000   0.722303               0.500000      0.792246                  0.379625        0.374680                    0.520926  380.774021           538.688653
L5N16    5.0     16.0     0.830186                 0.759251          0.888821                      0.075011          0.024205                      0.000005          0.111179                      0.924989  4.423243e-01                0.031152   0.731814               0.500000      0.775239                  0.379625        0.322306                    0.566511  432.849866           609.017157
L1N8     1.0      8.0     0.832642                 0.825426          0.816596                      0.734758          0.067964                      0.000000          0.183404                      0.265242  4.817130e-01                0.239679   0.744103               0.741310      0.776117                  0.763445        0.363996                    0.274794  208.840963           321.870846
L2N8     2.0      8.0     0.836634                 0.759251          0.845597                      0.468317          0.026519                      0.000000          0.154403                      0.531683  5.187219e-01                0.185633   0.739981               0.500000      0.785997                  0.379625        0.353583                    0.334117  263.649153           390.879061
L3N8     3.0      8.0     0.833564                 0.759251          0.835948                      0.266367          0.040629                      0.020151          0.164052                      0.733633  4.784821e-01                0.109208   0.738612               0.500000      0.779867                  0.379625        0.356640                    0.347458  320.833311           462.550849
