Layer Neurons   BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore    BNNAvgDiff  BNNAdversaryAvgDiff  BNNRecall  BNNAdversaryRecall  BNNPrecision  BNNAdversaryPrecision  BNNMeanEntropy  BNNAdversaryMeanEntropy   
1 64     0.838784              0.826194          0.185623                   0.578236               0.0                        0.0          0.814377                   0.421764  1.839295e-02         1.208525e-01   0.726806            0.737461      0.798826               0.765617        0.345365                 0.304678
2 64     0.839091              0.820820          0.303234                   0.810014               0.0                        0.0          0.696766                   0.189986  2.627747e-02         1.919802e-01   0.740728            0.762667      0.791263               0.754949        0.335880                 0.298256
3 64     0.833871              0.834178          0.223255                   0.734041               0.0                        0.0          0.776745                   0.265959  3.327840e-02         1.283876e-01   0.760591            0.716151      0.774421               0.793536        0.354433                 0.321105
4 64     0.832182              0.804545          0.351389                   0.754642               0.0                        0.0          0.648611                   0.245358  3.208365e-02         2.221977e-01   0.764923            0.781129      0.771034               0.740637        0.344431                 0.332158
5 64     0.831414              0.827729          0.192036                   0.630010               0.0                        0.0          0.807964                   0.369990  2.731405e-02         8.240373e-02   0.760715            0.679239      0.770358               0.808742        0.394765                 0.354693
1 32     0.832335              0.826040          0.313539                   0.677593               0.0                        0.0          0.686461                   0.322407  2.197586e-02         1.525981e-01   0.741069            0.742368      0.776458               0.764322        0.370591                 0.326632
2 32     0.834178              0.826040          0.218878                   0.621710               0.0                        0.0          0.781122                   0.378290  2.898569e-02         1.319147e-01   0.750993            0.733004      0.777101               0.766437        0.369422                 0.359946
3 32     0.832642              0.808076          0.189503                   0.818078               0.0                        0.0          0.810497                   0.181922  2.985721e-02         2.165225e-01   0.738441            0.763420      0.777989               0.740270        0.374637                 0.278350
4 32     0.835713              0.822969          0.133815                   0.688454               0.0                        0.0          0.866185                   0.311546  1.413128e-02         1.286897e-01   0.719340            0.712472      0.795581               0.766939        0.382607                 0.294790
5 32     0.828497              0.798864          0.159878                   0.124921               0.0                        0.0          0.840122                   0.875079  3.133503e-02         1.333062e-02   0.756398            0.694637      0.766260               0.723990        0.352524                 0.421792
1 16     0.839859              0.814218          0.156781                   0.691885               0.0                        0.0          0.843219                   0.308115  1.989634e-02         1.785602e-01   0.739927            0.750697      0.793497               0.746043        0.349581                 0.340530
2 16     0.827729              0.822509          0.245673                   0.750536               0.0                        0.0          0.754327                   0.249464  1.700399e-02         1.770038e-01   0.747618            0.729154      0.766293               0.760684        0.384801                 0.319634
3 16     0.836942              0.759251          0.169326                   0.000150               0.0                        0.0          0.830674                   0.999850  3.603851e-02         6.408895e-08   0.739312            0.500000      0.786991               0.379625        0.362274                 0.521079
4 16     0.836481              0.815292          0.179773                   0.380145               0.0                        0.0          0.820227                   0.619855  2.719571e-02         6.146078e-02   0.741404            0.740517      0.785043               0.747432        0.353910                 0.356675
5 16     0.832182              0.759251          0.068482                   0.000310               0.0                        0.0          0.931518                   0.999690  6.015247e-03         1.789053e-05   0.712441            0.500000      0.790528               0.379625        0.391069                 0.551286
1 8      0.759251              0.810686          0.086224                   0.532635               0.0                        0.0          0.913776                   0.467365  8.431416e-03         1.652714e-01   0.500000            0.757082      0.379625               0.742248        0.413613                 0.353161
2 8      0.830186              0.824044          0.161499                   0.626238               0.0                        0.0          0.838501                   0.373762  1.388332e-02         1.405547e-01   0.729637            0.743231      0.776083               0.760777        0.386472                 0.316603
3 8      0.830186              0.822969          0.133214                   0.304700               0.0                        0.0          0.866786                   0.695300  2.794140e-02         6.016992e-02   0.702198            0.733595      0.792587               0.760574        0.449567                 0.323952
4 8      0.759251              0.759251          0.001766                   0.000310               0.0                        0.0          0.998234                   0.999690  1.014504e-04         9.091241e-07   0.500000            0.500000      0.379625               0.379625        0.582761                 0.570705
5 8      0.812068              0.759251          0.164183                   0.000000               0.0                        0.0          0.835817                   1.000000  2.140965e-02         0.000000e+00   0.740789            0.500000      0.742917               0.379625        0.390150                 0.594361
1 4      0.828650              0.826501          0.245418                   0.359221               0.0                        0.0          0.754582                   0.640779  1.989309e-02         8.215332e-02   0.729061            0.729388      0.772984               0.768399        0.388037                 0.363331
