       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff  BNNRecall  BNNAdversaryRecall  BNNPrecision  BNNAdversaryPrecision  BNNMeanEntropy  BNNAdversaryMeanEntropy
L1N64     0.834024              0.828957          0.906899                   0.746312          0.103358                   0.000000          0.093101                   0.253688    0.672290         2.082243e-01   0.746319            0.703132      0.778153               0.788058        0.361711                 0.292852
L2N64     0.834331              0.826654          0.946293                   0.816076          0.101099                   0.000183          0.053707                   0.183924    0.710245         2.175813e-01   0.736069            0.703575      0.782568               0.781053        0.333894                 0.265929
L3N64     0.832949              0.787655          0.933796                   0.903566          0.128760                   0.000093          0.066204                   0.096434    0.734293         3.084565e-01   0.752580            0.776104      0.774450               0.726694        0.342374                 0.329968
L4N64     0.830493              0.812068          0.928794                   0.673611          0.088238                   0.035262          0.071206                   0.326389    0.673430         2.853026e-01   0.755100            0.756032      0.769696               0.743746        0.359923                 0.361534
L5N64     0.838784              0.828497          0.899921                   0.759953          0.048424                   0.012949          0.100079                   0.240047    0.664239         1.956638e-01   0.723540            0.703481      0.801240               0.786421        0.318733                 0.312641
L1N32     0.839091              0.759251          0.876090                   0.408582          0.054542                   0.000000          0.123910                   0.591418    0.573505         1.832995e-01   0.738985            0.500000      0.792156               0.379625        0.355764                 0.307298
L2N32     0.839245              0.810379          0.907674                   0.860118          0.041739                   0.000089          0.092326                   0.139882    0.648314         3.082324e-01   0.744966            0.757533      0.789603               0.741949        0.360271                 0.300012
L3N32     0.834178              0.759251          0.874269                   0.380659          0.058005                   0.013716          0.125731                   0.619341    0.568803         1.911288e-01   0.745332            0.500000      0.778769               0.379625        0.386134                 0.306938
L4N32     0.831261              0.759251          0.758143                   0.463390          0.069456                   0.000005          0.241857                   0.536610    0.488054         2.032247e-01   0.749072            0.500000      0.772206               0.379625        0.396244                 0.303816
L5N32     0.825887              0.759251          0.828776                   0.045467          0.051532                   0.001472          0.171224                   0.954533    0.553882         2.476012e-02   0.669751            0.500000      0.814800               0.379625        0.344781                 0.532049
L1N16     0.833871              0.819438          0.845722                   0.619532          0.040516                   0.000000          0.154278                   0.380468    0.546676         1.956447e-01   0.745129            0.698387      0.778223               0.764918        0.366217                 0.383377
L2N16     0.833871              0.794411          0.963861                   0.529738          0.045778                   0.000000          0.036139                   0.470262    0.703061         1.846035e-01   0.763422            0.711522      0.773944               0.718010        0.350358                 0.329817
L3N16     0.836634              0.759251          0.844038                   0.213571          0.052484                   0.000002          0.155962                   0.786429    0.560974         1.092260e-01   0.736714            0.500000      0.787512               0.379625        0.357764                 0.448611
