       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff
L1N64     0.834331              0.820513          0.711233                   0.813822          0.003151                   0.000676          0.288767                   0.186178    0.356438             0.237536
L2N64     0.833257              0.820052          0.698455                   0.787327          0.001555                   0.009763          0.301545                   0.212673    0.360305             0.246228
L3N64     0.834945              0.826654          0.693627                   0.799640          0.005583                   0.010018          0.306373                   0.200360    0.313970             0.177926
L4N64     0.836327              0.821127          0.727778                   0.861760          0.003885                   0.004520          0.272222                   0.138240    0.376977             0.238608
L5N64     0.833410              0.822816          0.716724                   0.843805          0.001263                   0.008103          0.283276                   0.156195    0.337238             0.263821
L1N32     0.834638              0.824965          0.743636                   0.772929          0.002592                   0.006934          0.256364                   0.227071    0.344616             0.226901
L2N32     0.831721              0.825119          0.770203                   0.749205          0.002688                   0.004239          0.229797                   0.250795    0.440985             0.205820
L3N32     0.833564              0.822969          0.623962                   0.709935          0.002238                   0.025819          0.376038                   0.290065    0.270314             0.255069
L4N32     0.832028              0.816060          0.631891                   0.807049          0.003428                   0.006022          0.368109                   0.192951    0.242294             0.254091
L5N32     0.824658              0.819285          0.474659                   0.531035          0.001770                   0.002082          0.525341                   0.468965    0.177358             0.206465
L1N16     0.829879              0.807616          0.638844                   0.786528          0.003561                   0.022137          0.361156                   0.213472    0.274625             0.258162
L2N16     0.831568              0.828343          0.616930                   0.703864          0.003718                   0.001895          0.383070                   0.296136    0.266180             0.189259
L3N16     0.829265              0.804238          0.734506                   0.367963          0.008647                   0.000000          0.265494                   0.632037    0.348080             0.122589
L4N16     0.826808              0.759251          0.683985                   0.142586          0.004791                   0.010446          0.316015                   0.857414    0.255992             0.060311
L5N16     0.835253              0.759251          0.655198                   0.087432          0.003569                   0.000064          0.344802                   0.912568    0.314893             0.029696
L1N8      0.824505              0.800246          0.570850                   0.466632          0.000000                   0.000000          0.429150                   0.533368    0.210923             0.125354
L2N8      0.828497              0.821741          0.375843                   0.465409          0.000000                   0.000009          0.624157                   0.534591    0.158840             0.171355
L3N8      0.828650              0.759251          0.475797                   0.000000          0.003746                   0.000000          0.524203                   1.000000    0.205877             0.000000
L4N8      0.759251              0.759251          0.000000                   0.364667          0.000000                   0.000000          1.000000                   0.635333    0.000000             0.091598
L5N8      0.825887              0.759251          0.585111                   0.000570          0.007530                   0.000000          0.414889                   0.999430    0.201270             0.000014
L1N4      0.759251              0.759251          0.390530                   0.000000          0.000000                   0.000000          0.609470                   1.000000    0.099488             0.000000
L2N4      0.822816              0.822202          0.483170                   0.515584          0.000000                   0.000000          0.516830                   0.484416    0.179828             0.172232
L3N4      0.759251              0.759251          0.350817                   0.000000          0.000000                   0.000000          0.649183                   1.000000    0.067501             0.000000
L4N4      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000    0.000000             0.000000
L5N4      0.759251              0.759251          0.000174                   0.000000          0.000000                   0.000000          0.999826                   1.000000    0.000018             0.000000
L1N2      0.821281              0.759251          0.412054                   0.397036          0.000000                   0.000000          0.587946                   0.602964    0.131721             0.068423
L2N2      0.759251              0.759251          0.393361                   0.000000          0.000000                   0.000000          0.606639                   1.000000    0.091605             0.000000
L3N2      0.799478              0.759251          0.423630                   0.000000          0.000000                   0.000000          0.576370                   1.000000    0.117544             0.000000
L4N2      0.759251              0.759251          0.415688                   0.000000          0.000000                   0.000000          0.584312                   1.000000    0.056280             0.000000
L5N2      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000    0.000000             0.000000
