       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore    BNNAvgDiff  BNNAdversaryAvgDiff
L1N64     0.837249              0.826654          0.826092                   0.862980          0.012911                   0.000000          0.173908                   0.137020  5.088534e-01         2.373709e-01
L2N64     0.835713              0.819438          0.779614                   0.740057          0.010587                   0.025654          0.220386                   0.259943  4.215249e-01         2.588731e-01
L3N64     0.833103              0.815600          0.776955                   0.827731          0.009576                   0.008296          0.223045                   0.172269  4.829452e-01         2.954409e-01
L4N64     0.836942              0.824198          0.849802                   0.773245          0.027248                   0.003254          0.150198                   0.226755  5.579157e-01         2.700778e-01
L5N64     0.833257              0.823891          0.837927                   0.525808          0.015474                   0.027286          0.162073                   0.474192  5.402756e-01         2.169039e-01
L1N32     0.831721              0.822509          0.793797                   0.783363          0.015207                   0.009339          0.206203                   0.216637  4.103691e-01         2.287825e-01
L2N32     0.834485              0.828036          0.897765                   0.790644          0.012653                   0.003905          0.102235                   0.209356  5.433338e-01         2.455845e-01
L3N32     0.832796              0.759251          0.779570                   0.424678          0.024002                   0.000116          0.220430                   0.575322  4.490264e-01         1.540421e-01
L4N32     0.830186              0.827883          0.745704                   0.748726          0.028505                   0.020978          0.254296                   0.251274  3.677133e-01         2.133279e-01
L5N32     0.834331              0.759251          0.842335                   0.242446          0.006224                   0.000001          0.157665                   0.757554  4.406392e-01         7.949793e-02
L1N16     0.826194              0.759251          0.719752                   0.386308          0.000000                   0.000000          0.280248                   0.613692  3.251448e-01         1.434619e-01
L2N16     0.833410              0.821741          0.853818                   0.602695          0.013285                   0.000404          0.146182                   0.397305  5.149850e-01         1.993289e-01
L3N16     0.824965              0.824505          0.813515                   0.742304          0.013304                   0.000651          0.186485                   0.257696  4.350843e-01         2.222656e-01
L4N16     0.828650              0.759558          0.778871                   0.482201          0.000000                   0.000156          0.221129                   0.517799  3.191336e-01         1.677092e-01
L5N16     0.829879              0.759251          0.749601                   0.084336          0.008849                   0.002474          0.250399                   0.915664  4.108026e-01         5.106305e-02
L1N8      0.832796              0.759251          0.773643                   0.358601          0.020300                   0.000000          0.226357                   0.641399  4.289663e-01         1.625090e-01
L2N8      0.828497              0.759251          0.633655                   0.454421          0.000000                   0.000000          0.366345                   0.545579  2.903544e-01         1.154350e-01
L3N8      0.828957              0.807923          0.696225                   0.491692          0.021853                   0.006662          0.303775                   0.508308  3.459664e-01         2.148230e-01
L4N8      0.817442              0.759251          0.749281                   0.001809          0.000000                   0.000000          0.250719                   0.998191  3.791537e-01         2.778164e-07
L5N8      0.824351              0.759251          0.603766                   0.011937          0.000000                   0.000000          0.396234                   0.988063  2.772434e-01         2.874754e-04
L1N4      0.826501              0.759251          0.659553                   0.477373          0.000000                   0.000000          0.340447                   0.522627  3.040799e-01         1.547969e-01
L2N4      0.759251              0.759251          0.000000                   0.471510          0.000000                   0.000000          1.000000                   0.528490  0.000000e+00         1.483265e-01
L3N4      0.721941              0.759251          0.527527                   0.409232          0.000000                   0.000000          0.472473                   0.590768  1.335406e-01         1.357874e-01
L4N4      0.759251              0.759251          0.000000                   0.468126          0.000000                   0.000000          1.000000                   0.531874  0.000000e+00         1.274875e-01
L5N4      0.759251              0.759251          0.004129                   0.008995          0.000000                   0.000000          0.995871                   0.991005  1.451891e-03         3.055447e-03
L1N2      0.759251              0.759251          0.000000                   0.365316          0.000000                   0.000000          1.000000                   0.634684  0.000000e+00         1.449545e-01
L2N2      0.759251              0.759251          0.381078                   0.425175          0.000000                   0.000000          0.618922                   0.574825  1.097763e-01         1.432784e-01
L3N2      0.759251              0.759251          0.000000                   0.000128          0.000000                   0.000000          1.000000                   0.999872  0.000000e+00         7.483032e-06
L4N2      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000  0.000000e+00         0.000000e+00
L5N2      0.759251              0.759251          0.000102                   0.000000          0.000000                   0.000000          0.999898                   1.000000  2.544797e-07         0.000000e+00
