       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore    BNNAvgDiff  BNNAdversaryAvgDiff
L1N64     0.837249              0.759251          0.636269                   0.065355      8.953214e-03               0.000000e+00          0.363731                   0.934645  3.399749e-01         2.073311e-03
L2N64     0.835867              0.759251          0.723286                   0.024859      2.810836e-03               0.000000e+00          0.276714                   0.975141  3.759877e-01         1.439832e-03
L3N64     0.835867              0.759251          0.619345                   0.018314      2.992690e-03               2.980232e-07          0.380655                   0.981686  2.951372e-01         3.298635e-03
L4N64     0.837709              0.759251          0.641151                   0.010023      4.867792e-03               1.370907e-06          0.358849                   0.989977  3.273278e-01         2.189154e-03
L5N64     0.836634              0.759251          0.780337                   0.002898      3.686249e-03               2.655983e-04          0.219663                   0.997102  4.062306e-01         1.632292e-03
L1N32     0.836634              0.759251          0.669633                   0.083896      9.479403e-03               0.000000e+00          0.330367                   0.916104  3.593836e-01         2.312856e-02
L2N32     0.835560              0.759251          0.717075                   0.031621      6.060183e-03               0.000000e+00          0.282925                   0.968379  3.140006e-01         7.896177e-03
L3N32     0.835867              0.759251          0.714319                   0.011955      7.102787e-03               0.000000e+00          0.285681                   0.988045  3.991814e-01         1.308593e-03
L4N32     0.826347              0.759251          0.615143                   0.000750      5.658567e-03               0.000000e+00          0.384857                   0.999250  2.544034e-01         2.110036e-04
L5N32     0.838170              0.759251          0.721801                   0.009110      2.034426e-03               5.960464e-07          0.278199                   0.990890  3.551586e-01         2.792659e-03
L1N16     0.831414              0.759251          0.655355                   0.104005      3.482521e-03               0.000000e+00          0.344645                   0.895995  2.989123e-01         1.914219e-02
L2N16     0.828804              0.759251          0.568620                   0.034050      7.984996e-03               0.000000e+00          0.431380                   0.965950  2.505946e-01         5.798468e-04
L3N16     0.833717              0.759251          0.712498                   0.007651      5.837679e-03               0.000000e+00          0.287502                   0.992349  2.818385e-01         1.894000e-03
L4N16     0.831568              0.759251          0.673412                   0.000991      1.882315e-03               0.000000e+00          0.326588                   0.999009  2.649099e-01         2.778677e-05
L5N16     0.826961              0.759251          0.638999                   0.000091      2.384186e-07               0.000000e+00          0.361001                   0.999909  3.650064e-01         1.391965e-08
L1N8      0.832028              0.759251          0.581312                   0.132568      4.224300e-03               5.616230e-02          0.418688                   0.867432  2.792705e-01         8.522972e-02
L2N8      0.834792              0.759251          0.677531                   0.055379      4.734576e-03               0.000000e+00          0.322469                   0.944621  3.532158e-01         1.175556e-02
L3N8      0.825580              0.759251          0.495429                   0.010657      0.000000e+00               0.000000e+00          0.504571                   0.989343  1.409429e-01         1.700865e-04
L4N8      0.759251              0.759251          0.000385                   0.006502      0.000000e+00               0.000000e+00          0.999615                   0.993498  5.904640e-08         5.172751e-05
L5N8      0.813143              0.759251          0.392973                   0.000910      5.458117e-03               0.000000e+00          0.607027                   0.999090  1.430192e-01         1.244454e-04
L1N4      0.828036              0.759251          0.633298                   0.102464      0.000000e+00               0.000000e+00          0.366702                   0.897536  2.432176e-01         2.301229e-03
L2N4      0.822355              0.759251          0.406990                   0.008616      0.000000e+00               0.000000e+00          0.593010                   0.991384  1.450057e-01         3.035618e-06
L3N4      0.759251              0.759251          0.000302                   0.005715      0.000000e+00               0.000000e+00          0.999698                   0.994285  1.628718e-07         1.787252e-06
L4N4      0.827115              0.759251          0.629766                   0.000000      0.000000e+00               0.000000e+00          0.370234                   1.000000  1.783118e-01         0.000000e+00
L5N4      0.818056              0.759251          0.262197                   0.011450      4.149258e-03               0.000000e+00          0.737803                   0.988550  1.198660e-01         1.716823e-04
L1N2      0.759251              0.759251          0.383904                   0.010129      0.000000e+00               0.000000e+00          0.616096                   0.989871  8.203045e-02         1.250406e-04
L2N2      0.759251              0.759251          0.376296                   0.000000      0.000000e+00               0.000000e+00          0.623704                   1.000000  7.471111e-02         0.000000e+00
L3N2      0.759251              0.759251          0.004139                   0.000000      0.000000e+00               0.000000e+00          0.995861                   1.000000  1.989402e-04         0.000000e+00
L4N2      0.759251              0.759251          0.000000                   0.006477      0.000000e+00               0.000000e+00          1.000000                   0.993523  0.000000e+00         2.390304e-04
L5N2      0.759251              0.759251          0.000000                   0.000000      0.000000e+00               0.000000e+00          1.000000                   1.000000  0.000000e+00         0.000000e+00
