       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff
L1N64     0.834485              0.759251          0.799533                   0.048514          0.025903                   0.000000          0.200467                   0.951486    0.432157             0.005758
L2N64     0.836481              0.759251          0.838965                   0.024475          0.019334                   0.000001          0.161035                   0.975525    0.513513             0.005325
L3N64     0.837402              0.759251          0.818951                   0.007949          0.018441                   0.000000          0.181049                   0.992051    0.511968             0.001459
L4N64     0.841241              0.759251          0.834154                   0.012772          0.028869                   0.000015          0.165846                   0.987228    0.505707             0.004617
L5N64     0.836481              0.759251          0.831721                   0.003945          0.019383                   0.000002          0.168279                   0.996055    0.445868             0.001226
L1N32     0.837402              0.759251          0.831103                   0.086357          0.016094                   0.000000          0.168897                   0.913643    0.494591             0.000517
L2N32     0.836634              0.759251          0.797190                   0.015488          0.011078                   0.000009          0.202810                   0.984512    0.460507             0.006824
L3N32     0.834638              0.759251          0.765328                   0.003422          0.005705                   0.000000          0.234672                   0.996578    0.399652             0.000201
L4N32     0.835560              0.759251          0.810902                   0.002628          0.022729                   0.000000          0.189098                   0.997372    0.447518             0.000511
L5N32     0.834485              0.759251          0.785882                   0.000726          0.006604                   0.000000          0.214118                   0.999274    0.463284             0.000164
L1N16     0.831875              0.759251          0.737077                   0.157054          0.009841                   0.000000          0.262923                   0.842946    0.353084             0.006957
L2N16     0.835560              0.759251          0.802786                   0.039586          0.033921                   0.000000          0.197214                   0.960414    0.514273             0.009581
L3N16     0.837249              0.759251          0.847843                   0.025256          0.015192                   0.000000          0.152157                   0.974744    0.448681             0.005976
L4N16     0.828804              0.759251          0.689892                   0.002718          0.002131                   0.000090          0.310108                   0.997282    0.376132             0.001865
L5N16     0.804698              0.759251          0.779602                   0.000629          0.000000                   0.000000          0.220398                   0.999371    0.316716             0.000109
L1N8      0.833103              0.759251          0.789934                   0.030004          0.000000                   0.000000          0.210066                   0.969996    0.376263             0.003964
L2N8      0.835099              0.759251          0.856347                   0.000000          0.006813                   0.000000          0.143653                   1.000000    0.454563             0.000000
L3N8      0.826347              0.759251          0.662433                   0.000000          0.000000                   0.000000          0.337567                   1.000000    0.268728             0.000000
L4N8      0.830493              0.759251          0.799696                   0.000000          0.010313                   0.000000          0.200304                   1.000000    0.452683             0.000000
L5N8      0.821588              0.759251          0.640992                   0.000000          0.033126                   0.000000          0.359008                   1.000000    0.308105             0.000000
L1N4      0.822202              0.759251          0.413386                   0.055669          0.000000                   0.000000          0.586614                   0.944331    0.163679             0.000202
L2N4      0.830800              0.759251          0.690443                   0.029626          0.000000                   0.020689          0.309557                   0.970374    0.303054             0.024380
L3N4      0.825273              0.759251          0.687386                   0.021446          0.000000                   0.000000          0.312614                   0.978554    0.243242             0.000547
L4N4      0.759251              0.759251          0.454621                   0.000000          0.000000                   0.000000          0.545379                   1.000000    0.174171             0.000000
L5N4      0.759251              0.759251          0.004392                   0.000000          0.000000                   0.000000          0.995608                   1.000000    0.002435             0.000000
L1N2      0.827576              0.759251          0.647400                   0.016239          0.000000                   0.000000          0.352600                   0.983761    0.354813             0.000109
L2N2      0.759251              0.759251          0.334007                   0.029027          0.000000                   0.000000          0.665993                   0.970973    0.082595             0.006811
L3N2      0.759251              0.759251          0.000000                   0.028365          0.000000                   0.000000          1.000000                   0.971635    0.000000             0.000013
L4N2      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000    0.000000             0.000000
L5N2      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000    0.000000             0.000000
