       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff
L1N64     0.834792              0.759251          0.206838                   0.023123               0.0                        0.0          0.793162                   0.976877    0.018923         3.244511e-04
L2N64     0.837709              0.759251          0.217049                   0.013053               0.0                        0.0          0.782951                   0.986947    0.042081         5.028744e-04
L3N64     0.839398              0.759251          0.189783                   0.006823               0.0                        0.0          0.810217                   0.993177    0.029947         3.889513e-04
L4N64     0.832796              0.759251          0.227778                   0.006770               0.0                        0.0          0.772222                   0.993230    0.018973         1.410581e-03
L5N64     0.830953              0.759251          0.285403                   0.002220               0.0                        0.0          0.714597                   0.997780    0.017847         1.506258e-04
L1N32     0.830186              0.759251          0.155971                   0.032097               0.0                        0.0          0.844029                   0.967903    0.014485         1.226053e-03
L2N32     0.837863              0.759251          0.274513                   0.024685               0.0                        0.0          0.725487                   0.975315    0.029779         1.590123e-03
L3N32     0.835406              0.759251          0.220202                   0.011141               0.0                        0.0          0.779798                   0.988859    0.024208         5.217397e-04
L4N32     0.827422              0.759251          0.123330                   0.003856               0.0                        0.0          0.876670                   0.996144    0.015477         1.883365e-04
L5N32     0.835560              0.759251          0.195851                   0.006442               0.0                        0.0          0.804149                   0.993558    0.023328         3.504422e-04
L1N16     0.832182              0.759251          0.188110                   0.037661               0.0                        0.0          0.811890                   0.962339    0.019000         6.807137e-03
L2N16     0.837095              0.759251          0.159541                   0.007534               0.0                        0.0          0.840459                   0.992466    0.032784         7.467227e-04
L3N16     0.828650              0.759251          0.203968                   0.003273               0.0                        0.0          0.796032                   0.996727    0.016128         2.384903e-04
L4N16     0.830953              0.759251          0.159202                   0.000582               0.0                        0.0          0.840798                   0.999418    0.024017         7.263026e-05
L5N16     0.831414              0.759251          0.183401                   0.000000               0.0                        0.0          0.816599                   1.000000    0.027907         0.000000e+00
L1N8      0.829725              0.759251          0.119758                   0.007280               0.0                        0.0          0.880242                   0.992720    0.025145         3.894926e-05
L2N8      0.827422              0.759251          0.087255                   0.010348               0.0                        0.0          0.912745                   0.989652    0.017397         1.364823e-04
L3N8      0.823737              0.759251          0.135620                   0.001646               0.0                        0.0          0.864380                   0.998354    0.031929         5.565117e-05
L4N8      0.830646              0.759251          0.139421                   0.010046               0.0                        0.0          0.860579                   0.989954    0.012891         6.387250e-04
L5N8      0.759251              0.759251          0.016191                   0.000000               0.0                        0.0          0.983809                   1.000000    0.001416         0.000000e+00
L1N4      0.759251              0.759251          0.000000                   0.008093               0.0                        0.0          1.000000                   0.991907    0.000000         1.539916e-05
L2N4      0.823277              0.759251          0.211560                   0.006627               0.0                        0.0          0.788440                   0.993373    0.013449         3.674889e-04
L3N4      0.759251              0.759251          0.000000                   0.002487               0.0                        0.0          1.000000                   0.997513    0.000000         1.681880e-06
L4N4      0.759251              0.759251          0.000000                   0.008937               0.0                        0.0          1.000000                   0.991063    0.000000         7.046833e-04
L5N4      0.829725              0.759251          0.129777                   0.000000               0.0                        0.0          0.870223                   1.000000    0.025774         0.000000e+00
L1N2      0.759251              0.759251          0.226206                   0.075493               0.0                        0.0          0.773794                   0.924507    0.013761         1.159109e-05
L2N2      0.759251              0.759251          0.013405                   0.004099               0.0                        0.0          0.986595                   0.995901    0.000002         1.326869e-03
L3N2      0.759251              0.759251          0.005874                   0.000000               0.0                        0.0          0.994126                   1.000000    0.000168         0.000000e+00
L4N2      0.759251              0.759251          0.001112                   0.000054               0.0                        0.0          0.998888                   0.999946    0.000050         4.242701e-08
L5N2      0.759251              0.759251          0.220970                   0.000000               0.0                        0.0          0.779030                   1.000000    0.010684         0.000000e+00
